#{"t_start": 1680605120.6428282, "env_id": null}
r,l,t
-68.100765,72,17.247863
-64.461715,223,22.751833
-97.472885,94,25.073013
-89.614712,111,27.816519
-22.394698,40,28.795524
-290.075818,460,40.086448
-19.955427,11,40.662873
-154.757364,308,48.187134
-64.29732,55,49.547667
-85.748734,126,52.663342
-437.472695,500,64.945997
-71.284497,79,103.804502
-22.309917,20,104.3061
-79.295829,86,106.403833
-48.834495,133,109.673733
-43.06141,182,114.156154
-285.292596,500,126.508349
-53.997299,208,131.735261
-111.701085,292,138.899712
-105.412291,188,143.53032
-227.189556,312,151.256396
-149.073386,500,199.854539
-78.429529,212,205.051838
-190.857544,288,212.144578
-227.90162,469,223.807478
-11.018077,31,224.57035
-28.8224,35,225.448509
-69.161506,125,228.516804
-31.979853,56,229.901619
-182.504374,284,236.8734
-45.423413,129,240.172044
-13.889982,12,240.462209
-35.988305,359,286.266529
-84.138012,363,295.117018
-36.148245,53,296.41311
-10.26077,84,298.454793
-25.344855,30,299.324544
-10.90302,3,299.401609
-217.883026,467,310.899889
-108.660394,206,315.963899
-12.597288,5,316.085534
-30.940879,26,316.738151
-85.545142,263,323.186486
-49.286809,298,366.903712
-73.847416,70,368.609581
-111.303783,132,371.850279
-142.447042,188,376.432016
-49.852493,124,379.456827
-152.769341,188,384.05382
-74.492036,190,388.838692
-50.386247,310,396.415952
-85.764069,326,404.409295
-62.149887,174,408.670614
-20.957641,19,409.231508
-244.095161,433,456.020979
-12.856646,48,457.206414
-57.143744,193,461.954529
-43.684522,80,463.904686
-21.87777,35,464.759523
-17.056283,20,465.252314
-39.138195,149,468.884827
-5.174287,23,469.459341
-36.077319,48,470.765172
-26.664207,23,471.343682
-98.032683,414,481.50439
-14.615903,15,481.874421
-10.853187,2,481.931105
-121.204209,171,486.112983
-50.98768,327,494.159417
-45.235225,88,496.400997
-27.702625,95,498.700308
-79.105356,172,540.018819
-52.988414,59,541.489237
-17.182011,20,541.973584
-48.76024,66,543.596911
-19.137805,32,544.382346
-36.704583,102,546.8687
-25.834204,32,547.653667
-94.215646,101,550.138135
-55.553698,224,555.652864
-7.883291,9,555.862369
-35.068944,34,556.855539
-79.44302,111,559.598657
-40.794829,153,563.333115
-14.232462,8,563.52702
-76.598133,178,567.876723
-10.641765,2,567.927488
-10.842298,14,568.27035
-18.425755,33,569.086394
-75.376745,84,571.161785
-48.24759,41,572.175949
-31.373114,109,574.845449
-139.053796,153,578.597657
-14.414038,80,580.602376
-48.081209,81,582.675603
-37.843981,93,584.93809
-38.265964,107,587.557802
-16.25856,23,588.127378
-21.616023,83,626.50247
-26.378639,54,627.809276
-12.671215,59,629.257595
-36.754049,44,630.363628
-10.823985,2,630.410402
-20.561345,26,631.058572
-19.408772,11,631.341956
-83.923713,93,633.607495
-76.03228,166,637.649449
-40.548621,42,638.673784
-24.684784,116,641.524294
-52.648173,88,643.796335
12.099373,294,650.982301
-39.848646,73,652.774098
-25.86263,19,653.234681
-11.356017,26,653.87151
-24.787878,69,655.548597
-91.300072,164,659.562348
-72.944447,77,661.450498
-38.987333,56,662.812747
-57.23415,71,664.541603
-26.851624,49,665.740232
-13.84041,7,665.910332
-2.845637,7,666.083617
-24.964472,63,667.72301
-48.213064,60,669.187867
-94.731655,222,674.634087
-61.731452,155,714.893607
-82.555065,110,717.615081
-15.002006,14,717.958222
-21.621345,58,719.369188
-18.174874,14,719.727149
-16.800715,11,719.995998
-89.143712,123,723.022769
-66.796024,170,727.184015
-82.615842,317,734.982717
-32.875822,41,735.970806
-26.561796,62,737.478538
-8.657778,80,739.433104
-32.899061,173,743.653889
-33.421513,65,745.250493
-17.825102,17,745.668206
-20.298591,37,746.580053
-21.367619,208,751.661128
-24.68781,158,755.617364
-24.814278,19,756.078866
-23.590742,61,757.577371
-54.168449,68,759.246497
-26.883209,194,800.362831
-43.097761,275,807.120093
-49.360857,225,812.631637
-18.192466,15,813.122462
-54.476354,192,817.831088
-35.22367,127,820.948643
-15.309466,23,821.502392
-25.784909,143,824.965836
-39.764994,144,828.472207
-46.545473,356,837.129343
-22.009219,18,837.694881
-27.31613,106,840.314258
-24.166288,80,842.396365
-34.271938,32,843.177506
-23.006495,55,844.536973
-23.072856,105,847.238666
-21.344529,49,848.475757
-23.661592,21,848.99848
-15.169216,34,887.417296
-23.742497,17,887.849633
-28.561523,34,888.695892
-12.623896,6,888.849894
87.420702,131,892.161036
-39.7609,52,893.460999
-38.968489,226,899.1166
-3.653989,34,899.97383
-46.91445,240,906.061185
-25.259602,60,907.557397
-28.161871,54,908.883797
-26.617346,18,909.330667
-50.98559,89,911.562137
-4.000355,39,912.555945
-20.603955,17,912.983024
-42.906057,284,920.210138
-40.639204,42,921.295691
-45.688979,43,922.388567
-27.275999,31,923.168288
-11.746673,83,925.272306
-19.107092,20,926.102876
-54.03132,480,938.211867
-23.914885,16,938.607862
-68.529914,301,983.267262
-16.093076,26,983.912166
-54.040024,67,985.596069
-54.966569,59,987.086145
-21.986604,16,987.493798
-3.509059,15,987.878229
-31.935319,67,989.666161
55.972967,295,997.057506
-22.509323,24,997.65583
-15.648088,22,998.201764
-31.099328,62,999.745228
-6.521526,30,1000.492646
-28.744707,72,1002.356756
-39.207029,33,1003.211504
-35.577936,395,1013.344739
-10.545157,3,1013.510237
-31.553466,29,1014.25035
-72.202353,375,1024.118547
-34.31065,37,1025.093436
-8.760278,56,1026.567829
78.553414,230,1065.201337
-23.945359,270,1072.296575
-23.969663,27,1073.118937
-25.710371,31,1074.00085
-10.575796,2,1074.061531
-57.37835,440,1085.930438
-37.60324,76,1088.080124
-16.426957,19,1088.625636
-49.125152,161,1092.999423
87.300732,188,1097.874136
-37.148076,33,1098.734621
-1.273639,23,1099.382946
-72.7872,500,1113.104088
66.595223,187,1150.457225
97.140025,39,1151.516543
-18.653759,17,1151.960775
94.464579,114,1154.93934
-27.09305,20,1155.486704
-11.249296,3,1155.568954
-36.462427,46,1156.80283
-7.103296,74,1158.742866
-52.94668,108,1161.83681
-31.816298,392,1172.404869
82.881764,265,1179.752357
-34.296851,28,1180.495272
-18.807421,18,1181.024219
-15.035707,11,1181.325345
-14.460807,20,1181.847367
-27.244201,26,1182.522184
-11.006862,3,1182.598443
-29.918419,29,1183.350727
-6.888307,100,1185.957486
-31.221684,81,1188.186876
-56.925504,78,1190.328031
89.417783,119,1193.638655
87.446611,142,1197.373477
-25.337502,80,1199.480641
57.258179,230,1238.995312
-10.709769,3,1239.073045
-10.863937,4,1239.177713
-23.132435,19,1239.680836
63.086351,165,1244.023276
-43.146581,50,1245.340808
-15.614099,8,1245.535514
-17.652285,11,1245.828408
-5.211228,10,1246.090587
-12.838088,7,1246.460954
-49.265687,63,1248.117261
-33.047064,27,1248.828149
-15.787472,26,1249.519157
-21.5477,27,1250.22596
-33.338422,54,1251.668361
-14.84435,11,1251.941249
94.530868,60,1253.52529
93.289338,46,1254.726761
-15.334139,10,1254.990594
75.330563,163,1259.256828
-4.577758,6,1259.415894
-30.051735,28,1260.176387
78.900655,188,1265.445573
-25.204305,19,1266.027179
-11.497704,3,1266.114859
79.715115,151,1270.270175
-33.920508,28,1271.00686
-26.069369,61,1272.616456
-17.244185,22,1273.202841
-30.277379,33,1274.130334
71.781757,251,1280.982754
-33.789721,68,1282.885683
-21.229883,16,1283.331286
-19.122268,39,1284.36868
87.828144,79,1286.420232
-10.378602,2,1286.477093
-4.004065,12,1286.789814
-45.604899,41,1287.885062
-47.657059,45,1289.084316
-21.168984,67,1290.900564
-19.487107,11,1291.201025
85.8936,123,1329.409046
78.928025,140,1333.207977
-13.907218,73,1335.247405
97.098331,42,1336.542106
-51.773014,67,1338.344658
-16.277007,23,1338.951207
88.368959,127,1342.311961
-23.559301,17,1342.759151
-27.285663,63,1344.383701
90.513596,107,1347.289741
-28.689479,29,1348.0849
-23.148137,25,1348.805048
96.260529,64,1350.651234
94.986442,59,1352.253521
-11.614127,8,1352.459721
-20.244179,19,1352.961413
-19.946906,44,1354.095383
91.318585,72,1355.993973
95.691932,39,1357.02892
-13.582576,7,1357.218237
-20.051543,18,1357.698213
88.106229,139,1361.520024
-22.236345,17,1362.005455
-12.015905,14,1362.406571
90.914171,77,1364.692284
-39.979633,63,1366.370163
-21.524501,25,1367.020398
-11.171689,4,1367.128239
-17.157098,17,1367.577505
-15.382543,24,1368.225188
-33.198973,33,1369.090353
89.082917,172,1373.737135
-27.868604,85,1376.066722
-49.608702,44,1377.341343
-26.875773,42,1378.498284
75.189039,130,1381.970613
-25.017287,25,1382.646378
-14.088576,11,1382.92986
-38.441567,37,1415.799178
-16.091606,20,1416.336292
-55.29934,55,1417.770163
-24.096908,31,1418.624943
-26.438665,18,1419.121816
-26.168979,26,1419.878518
-23.322576,38,1421.01728
-7.207058,23,1421.687693
-22.058345,31,1422.629572
95.485036,77,1424.82061
92.773569,91,1427.263794
-15.990729,10,1427.522008
83.923634,82,1429.69324
97.595608,33,1430.551767
64.516231,155,1434.715636
-19.821183,21,1435.304167
-45.213589,63,1437.099833
-14.950301,6,1437.269022
75.447712,153,1441.482491
-36.959126,68,1443.291648
-15.974839,12,1443.602939
-19.204671,41,1444.686132
-23.213515,23,1445.291594
95.018302,55,1446.724165
-25.757444,19,1447.226293
-6.012465,60,1448.859555
-12.914414,4,1449.019317
83.595659,106,1451.99703
-12.523855,5,1452.139482
-24.581551,20,1452.714084
-15.765454,20,1453.260602
92.47127,69,1455.164486
95.281657,55,1456.610829
-17.197698,28,1457.339728
90.433352,67,1459.097338
68.877861,122,1462.321877
-2.377101,4,1462.440643
-36.228169,36,1463.426228
93.125638,127,1466.982276
-22.937623,28,1467.757139
-47.360713,117,1470.863038
-10.826762,2,1470.915954
-28.233843,20,1505.903919
86.827626,65,1507.645135
-17.045996,11,1507.928687
87.824881,67,1509.698854
-11.371901,27,1510.400761
-19.162844,11,1510.799135
95.287073,73,1512.731091
-20.744917,13,1513.07178
83.604018,95,1515.564513
96.645588,72,1517.564214
94.09601,61,1519.26144
74.339261,85,1521.646006
-12.214864,90,1524.027815
