#{"t_start": 1682366304.332258, "env_id": null}
r,l,t
-304.600117,500,21.028586
-362.424935,500,38.21128
-290.784334,500,55.532568
-79.492753,500,72.630233
-203.833948,500,103.415307
-293.594179,500,120.602441
-130.508977,500,137.946709
-219.364657,500,154.870844
-123.837828,500,185.64239
-129.993678,500,202.768776
-149.658022,500,220.076557
-130.900459,500,237.116992
-88.625894,500,267.645493
-137.688717,500,284.644108
-272.80497,500,301.971266
-239.445536,500,319.103409
-140.003308,500,349.465847
-90.416951,500,366.35421
-127.119812,500,383.559551
-138.364514,500,400.456864
-172.584897,500,431.236298
-179.79989,500,447.968894
-102.241033,500,465.010968
-172.358656,500,481.883836
-111.418488,500,512.415676
-137.499911,500,529.301294
-189.162871,500,546.333342
-98.631661,500,563.213776
-237.568701,500,593.697007
-159.11249,500,610.621688
-187.748477,500,627.737614
-113.406706,500,644.63486
-129.037805,500,675.048153
-142.483,500,692.034003
-160.523551,500,709.160349
-91.341578,500,725.920203
-114.642708,500,756.379328
-174.458284,500,773.244452
-161.05216,500,790.314115
-56.793898,500,807.093999
-126.174947,500,837.336571
-134.455688,500,854.232327
-64.919673,500,871.004218
-160.094907,500,887.852343
-178.397915,500,904.795747
-70.996753,500,935.238365
-112.112946,500,952.56931
-50.389966,500,969.564332
-88.370207,500,986.729321
-94.689954,500,1017.670051
157.419127,321,1029.323961
-99.662851,179,1035.48383
125.664176,270,1044.740285
186.10805,155,1049.933424
-63.165943,75,1052.457392
-184.965881,500,1069.646816
103.163805,387,1096.076363
-30.62709,113,1099.939415
125.49849,323,1111.123373
-36.206777,177,1117.126171
143.068797,361,1129.445222
-31.786811,139,1134.156308
-117.9451,500,1151.424959
-92.678682,500,1181.7348
-45.57904,500,1198.89151
-39.972798,500,1215.794288
-54.873948,500,1232.752312
103.615683,438,1260.937638
-39.471273,62,1263.035645
-90.662019,500,1279.89298
-195.566024,500,1296.939029
-60.813863,500,1313.949315
-51.772557,500,1344.412111
191.006409,157,1350.008468
-29.830918,343,1361.506814
-160.188079,500,1378.588059
-40.087503,500,1395.702838
-55.558959,500,1425.981783
-67.279833,500,1442.785228
-37.905671,500,1459.704063
161.560974,154,1464.978142
112.936736,211,1472.07725
-92.506362,135,1476.551046
138.623824,480,1506.099363
-12.436879,20,1506.784352
-80.550768,500,1523.780147
-65.965331,500,1540.618332
-55.833444,500,1557.703418
-88.763243,500,1587.987669
141.772713,253,1596.582923
166.62283,178,1602.577635
-36.029388,69,1604.869765
-100.86222,500,1621.866338
171.928092,100,1625.312506
-71.547041,400,1638.91361
164.690047,316,1649.570635
-64.581901,184,1669.215742
-49.78278,500,1686.261857
-36.302909,500,1703.182128
-56.284229,500,1720.031522
-63.071003,500,1737.045749
168.354189,385,1763.579384
-13.872958,115,1767.496722
180.764117,117,1771.451821
172.041355,244,1779.661144
-44.796362,139,1784.387051
-137.789344,500,1801.245109
-61.360362,500,1818.221112
-53.929241,500,1848.476406
-50.012624,500,1865.4501
-52.60311,500,1882.572121
-113.524462,500,1899.435708
110.059858,379,1925.859852
-44.251731,121,1929.935204
-200.453334,500,1946.896459
-46.492463,500,1963.737086
-58.622933,500,1981.294796
-38.40187,500,2011.643092
-36.109753,500,2028.479089
-153.865137,500,2045.374585
-57.659918,500,2062.294934
-191.613828,500,2092.577429
-44.744877,500,2109.512546
-92.359683,500,2126.462667
-82.256785,500,2143.354665
-51.924082,500,2173.564549
-67.993798,500,2190.417073
-28.573556,500,2207.45935
168.614504,266,2216.445454
-76.552252,234,2224.350895
-58.308834,500,2254.872671
-47.916331,500,2271.589015
179.490383,331,2282.834208
-79.704296,169,2288.509571
-32.87172,500,2305.464011
-93.265509,500,2335.929261
-185.630651,500,2352.884078
-177.8085,500,2369.811897
-167.432536,500,2386.760781
-39.491602,500,2417.090371
-72.910724,500,2434.02442
-190.931821,500,2450.953825
-61.236764,500,2467.706725
148.060242,406,2481.513976
-55.19854,94,2498.19276
-194.847583,500,2515.048981
-34.000099,500,2532.111083
-60.42651,500,2548.916953
-73.443237,500,2579.324114
187.975331,76,2581.924551
-178.696244,424,2596.292916
192.71287,116,2600.294941
-62.055785,384,2613.2337
-43.464434,500,2630.053437
130.660794,256,2638.815318
-26.962534,244,2647.112711
-88.095187,500,2677.560587
-65.998913,500,2694.486487
-91.599918,500,2711.331064
165.857168,149,2716.447569
-45.716674,351,2728.26791
123.416995,322,2752.421346
-58.706803,178,2758.403597
108.365533,398,2771.906825
-33.018211,102,2775.340366
-190.273723,500,2792.17386
-94.546414,500,2809.22166
-45.603965,500,2839.473973
-71.884933,500,2856.497172
-55.202876,500,2873.467753
-38.522049,500,2890.515573
139.02098,269,2913.003503
171.507479,218,2921.096409
-8.090138,13,2921.624415
176.948814,328,2932.753045
-71.311466,172,2938.579684
134.926771,319,2949.371186
-46.448747,181,2955.530991
-208.450095,500,2972.356098
-48.361491,500,3002.54403
-42.75317,500,3019.55077
-69.986207,500,3036.3994
-203.860636,500,3053.358324
-55.222504,500,3083.668484
184.879049,79,3086.403181
180.415165,195,3093.055094
-70.06326,226,3100.724387
-192.966189,500,3117.58527
-84.896839,500,3134.488189
-65.03689,500,3164.828643
-225.160426,500,3181.737898
-90.127281,500,3198.62454
-220.264028,500,3215.463924
187.465909,74,3218.040311
-42.115534,426,3245.828286
-55.037872,500,3262.77284
-107.534073,500,3279.57013
-213.690593,500,3296.483491
-57.238679,500,3326.560193
-42.61675,500,3343.58698
174.387128,206,3350.689923
-29.029681,294,3360.737832
149.681688,196,3367.465554
-46.06567,304,3377.668876
-36.11032,500,3408.031942
168.200283,481,3424.371102
-11.752193,19,3424.96585
182.343949,286,3434.669996
-52.919541,214,3441.86015
-69.420003,500,3458.887732
-33.28838,500,3475.629019
-42.355329,500,3506.009559
-93.366353,500,3522.891481
-51.535547,500,3539.870402
-61.164226,500,3556.761367
-51.904892,500,3587.192784
-65.334286,500,3604.069646
-51.15008,500,3620.915716
-56.327476,500,3637.914539
-71.015184,500,3668.198728
-43.472593,500,3685.173548
-44.242338,500,3702.281909
-76.76534,500,3719.19118
-42.648094,500,3750.777527
148.919606,222,3758.998791
168.794695,125,3763.574979
-30.824562,153,3769.265589
-49.4823,500,3786.207267
112.374066,485,3802.807156
-9.251076,15,3803.321342
-158.032114,500,3833.660789
-193.351688,500,3850.669291
183.308639,78,3853.354686
-56.753098,422,3867.749608
140.554716,492,3884.331645
-4.278989,8,3884.586781
-62.06892,500,3914.927743
-30.308968,500,3932.028038
-60.655578,500,3948.986586
125.637435,382,3961.844764
-19.776463,118,3965.850132
-53.125743,500,3996.080796
-46.053998,500,4013.146911
-69.338981,500,4030.154905
155.277306,497,4047.242155
-0.567469,3,4047.34039
-153.691018,500,4077.639982
187.820926,169,4083.453092
177.576991,288,4093.094834
-10.50139,43,4094.524207
189.222436,55,4096.467257
-65.406728,445,4111.551773
-54.038127,500,4128.512833
-34.756192,500,4158.767038
-56.322733,500,4175.779345
152.415629,500,4192.7656
-97.091821,500,4209.702633
-53.1866,500,4239.990963
-62.232337,500,4256.912644
-178.413698,500,4273.734428
-61.493417,500,4290.726273
185.504749,191,4297.277675
-104.980351,309,4321.154417
172.492995,472,4337.207844
-7.115361,28,4338.186516
-49.268978,500,4355.104574
-65.397698,500,4372.014659
-187.034889,500,4388.995796
-44.323907,500,4419.548216
157.446086,238,4427.649608
-18.286917,262,4436.501553
152.041603,488,4452.9878
-3.665835,12,4453.393218
128.969288,401,4467.087686
-43.132286,99,4470.415603
-65.993654,500,4500.753896
-79.364473,500,4517.622054
-175.939066,500,4534.604547
150.977118,173,4540.569294
-87.615541,327,4551.586851
-25.325376,500,4581.900335
-34.130734,500,4599.064801
175.488409,203,4606.072366
-103.904427,297,4616.395591
-71.248061,500,4633.454226
-46.330708,500,4663.797774
-63.279886,500,4680.839209
143.10316,347,4692.524029
-50.097668,153,4697.689564
-42.568774,500,4714.709027
-76.714374,500,4745.135359
-159.03787,500,4762.110184
-39.412147,500,4779.133168
-170.314568,500,4796.135284
-148.246807,500,4826.372196
190.216326,166,4832.135063
132.145103,272,4841.322471
-5.392036,62,4843.41733
-55.75184,500,4860.239004
-77.029805,500,4877.341094
189.419235,137,4881.871854
-72.538674,363,4907.683419
-185.711943,500,4924.623806
191.828413,104,4928.187979
-27.151599,396,4941.577678
-42.250948,500,4958.494664
-61.651606,500,4989.023309
166.349476,254,4997.584446
-78.7346,246,5005.825267
130.314802,262,5014.759208
-32.102966,238,5022.846596
