#{"t_start": 1676459083.0914063, "env_id": null}
r,l,t
483.407706,12,1.504905
483.295291,12,2.81305
483.344573,12,4.129257
483.306136,12,5.44594
483.048589,12,6.747946
483.35764,12,8.04757
483.402785,12,9.343836
483.213386,12,10.638718
483.144433,12,11.93823
483.364752,12,13.238135
483.383579,12,14.535428
483.333476,12,15.828635
483.362588,12,17.154588
483.295765,12,18.455524
483.206047,12,19.771202
483.442289,12,21.0823
483.449986,12,22.389846
481.578537,13,23.794838
483.432015,12,25.110835
483.45023,12,26.451877
483.224608,12,27.794717
483.389687,12,29.170028
483.365956,12,30.527501
482.059165,13,31.967134
483.393922,12,33.311152
483.087146,12,34.643042
483.327987,12,35.969965
483.386387,12,37.283888
483.332679,12,38.59331
483.452565,12,39.896764
483.385291,12,41.222677
483.412181,12,42.540442
483.36168,12,43.84277
483.291685,12,45.158722
483.45874,12,46.464463
482.716279,12,47.769295
483.398866,12,49.070452
483.469404,12,50.385152
