#{"t_start": 1680690318.3610198, "env_id": null}
r,l,t
-383.383388,500,32.446918
-232.287839,500,45.113101
-94.871441,500,57.863543
-56.231037,55,59.263579
-67.145606,445,70.453222
-20.529235,31,71.301386
-105.306788,469,125.466009
-11.231842,6,125.616107
-143.753071,494,137.975565
-193.650551,469,150.000269
-18.415679,31,150.780782
-40.879516,149,154.539646
-104.252324,248,160.81986
-66.694115,103,163.449544
-71.222058,82,165.676736
-82.878921,418,216.568386
-93.823194,100,219.078518
-12.028673,3,219.159692
-158.909371,397,229.125949
-70.879152,500,241.684754
-28.637291,37,242.646338
-57.220942,150,246.447809
-105.232033,162,250.498144
-51.083174,151,254.297307
-86.767561,500,307.625947
-96.193642,500,320.166403
-32.455377,38,321.179246
-107.142982,462,332.78311
-88.95966,500,345.326901
-78.343126,147,349.172357
-86.974088,353,398.293854
-74.861366,161,402.379866
-44.772901,36,403.289778
-17.382104,12,403.586607
-53.075886,291,410.789438
-77.698422,75,412.897202
-40.57333,50,414.153172
-95.894697,375,423.502602
-46.758178,67,425.177035
-56.570422,433,436.016364
-77.041598,500,488.795206
-15.058086,21,489.325862
189.339241,91,491.58922
-62.983965,388,501.232341
179.600565,129,504.690034
-82.658162,371,513.914644
-132.280203,439,524.887619
-15.003663,61,526.405108
-32.074347,34,527.411784
-11.814376,4,527.510575
-53.852855,55,528.875988
-39.704206,32,529.675721
-15.827936,18,530.130346
-14.020695,9,530.349513
-59.013201,56,531.759705
-47.526619,292,580.09484
155.826025,443,591.089585
-23.846788,21,591.623087
-17.088361,36,592.530784
-32.516077,500,605.140955
-40.533427,500,617.614392
145.190869,328,625.949067
-10.939301,4,626.052196
185.470944,121,669.151827
-18.752097,40,670.149431
-4.328746,7,670.319069
-33.47547,33,671.155637
179.978846,149,674.895462
-21.679956,16,675.297843
-34.916385,40,676.296014
172.514113,233,682.091433
-7.981834,29,682.832774
156.358102,459,694.441802
-23.160026,38,695.38946
-2.045371,3,695.464719
141.736496,346,704.110952
-50.932919,154,707.926902
-18.85234,18,708.526851
174.063742,168,712.742343
-25.40557,21,713.262433
-52.15216,293,761.193648
178.040961,222,766.763871
-47.401702,45,767.878116
-43.061234,36,768.779586
-29.6982,43,769.846381
-22.219887,154,773.673408
-38.461659,70,775.490825
-48.405192,238,781.394221
-63.581976,192,786.183072
-39.376377,32,786.977731
-49.458629,468,798.688906
-31.723781,25,799.378181
161.963131,474,851.898243
-0.184746,1,851.929311
135.393805,236,857.828935
180.640813,148,861.578336
-10.908566,2,861.632212
-29.048874,114,864.512083
-21.025948,18,865.033029
-12.659477,10,865.281607
176.684059,248,871.441213
-20.432404,15,871.831684
-22.79812,19,872.323224
-39.834648,45,873.430015
-19.646936,21,873.950806
-6.379429,124,877.035398
161.881934,422,887.578028
196.031426,37,888.498621
-10.867847,41,889.527068
-48.298387,62,891.136346
-11.374656,3,891.205168
136.893793,246,897.357871
-12.844625,5,897.48063
-19.096432,15,897.864029
-10.196485,169,942.517679
-47.496856,61,944.069498
183.668103,144,947.650447
-49.845654,62,949.188532
-47.071904,59,950.646455
-11.817517,174,954.975694
191.343984,85,957.160278
-13.934118,5,957.293952
-28.228529,22,957.839329
177.743254,233,963.695965
-67.672603,115,966.549808
-8.207131,40,967.554572
-36.750636,48,968.76745
-41.672324,53,970.094223
190.264291,148,973.817497
193.497503,105,976.448377
193.385499,92,978.736936
-25.018815,54,980.084909
-23.520502,45,981.277336
-23.861524,71,983.064635
183.769838,228,988.733447
-30.549117,23,989.306369
-15.489602,133,992.643584
-50.007813,500,1046.071903
-51.657531,48,1047.35843
-50.273382,452,1058.596949
165.576033,411,1068.944532
-10.403248,2,1068.994928
-19.32822,87,1071.147852
-58.625566,71,1073.019477
-14.024785,5,1073.140326
-122.164084,168,1077.337231
-22.134547,23,1077.911
-21.668769,20,1078.409089
-62.082612,213,1083.707578
-56.150004,500,1136.592524
-17.829243,77,1138.599818
-22.14149,40,1139.603223
-22.662965,21,1140.132057
-22.319765,16,1140.538632
-27.009361,50,1141.799633
-21.827466,110,1144.56232
-60.426799,76,1146.480921
-26.566562,20,1146.982468
-10.914948,3,1147.060979
-15.788158,87,1149.248697
-28.536073,96,1151.684184
-40.197961,84,1153.817905
-27.459469,135,1157.216988
-23.295155,103,1159.813287
-22.843244,16,1160.218093
-44.639462,50,1161.470204
-16.748829,8,1161.672539
-5.016135,8,1161.882621
-24.213137,88,1164.162723
-50.253995,107,1166.843381
-70.983934,78,1168.800255
-33.971592,40,1169.787389
-13.77517,6,1169.939854
-32.639631,147,1173.64891
-8.234604,34,1174.493462
-62.732589,500,1227.470662
-12.511125,12,1227.83687
-64.84136,488,1239.98159
-24.201976,22,1240.533193
-21.772184,41,1241.544335
-81.328167,437,1252.398151
-16.122754,8,1252.655435
-29.594205,36,1253.536676
-19.387994,52,1254.799269
-13.981096,7,1254.96849
-22.014893,38,1255.907846
-27.932474,128,1259.073309
-31.47224,231,1264.817863
-32.663901,166,1268.9886
-10.288267,2,1269.037688
-13.888935,6,1310.216281
-20.524245,27,1310.970035
-53.853777,70,1312.95521
-39.102063,37,1313.942486
-36.602145,118,1316.933373
-24.859087,38,1317.872949
-31.223965,36,1318.77718
-38.412915,126,1322.061453
-28.955658,92,1324.382942
-14.708525,7,1324.563225
-31.084822,28,1325.254649
-38.297854,134,1328.610813
-24.758512,78,1330.535344
-22.394301,35,1331.415706
-23.634364,62,1332.991428
-14.29758,9,1333.21959
-26.043935,59,1334.673909
-19.076175,10,1334.927003
-54.138151,360,1343.828021
-64.912223,410,1354.162204
-24.138341,90,1356.404066
-51.186517,273,1403.887458
-32.480353,100,1406.367279
-26.835514,95,1408.735963
-28.534932,20,1409.234713
-8.0874,12,1409.529954
-77.083978,500,1422.065176
-24.148966,70,1423.840991
-26.514148,83,1425.896289
-48.1239,152,1429.645846
-14.06058,13,1429.968331
-39.860693,107,1432.664266
-15.281986,75,1434.518841
-15.849389,12,1434.870369
-20.937083,22,1435.437995
-16.732142,16,1435.82321
-29.215063,42,1436.878268
-24.650023,70,1438.617296
-40.60298,125,1441.722301
-11.704035,3,1441.799897
-17.141882,9,1442.012848
-20.0184,27,1442.719413
-26.792494,79,1444.675317
-23.545039,95,1447.049461
-65.402475,500,1500.317419
-32.52266,34,1501.211392
-28.632449,35,1502.102164
-27.887064,71,1503.881273
-28.884599,20,1504.366266
-44.874848,161,1508.337266
-21.180758,13,1508.66039
-29.105117,55,1510.019345
-27.446361,85,1512.132033
-9.587904,26,1512.78417
-73.700316,177,1517.213021
-18.26366,19,1517.699216
-17.362926,14,1518.047397
-21.44802,19,1518.521974
-12.98045,4,1518.621936
-44.749348,267,1525.243293
-64.975165,500,1537.749405
-25.371614,17,1538.185933
-28.420816,42,1539.245936
-26.466211,27,1539.925772
-25.466113,17,1540.351076
-36.775929,49,1541.557354
-56.267901,348,1590.237617
-29.228894,24,1590.898838
-38.205602,51,1592.179471
-21.408082,21,1592.72058
-26.488326,19,1593.191437
-50.521299,385,1602.728001
-12.422794,8,1602.931955
-17.970046,39,1603.913048
-56.094718,453,1615.195755
-16.951945,8,1615.454017
-13.132918,5,1615.584247
-12.289513,4,1615.68992
-62.008489,483,1627.649606
-17.897088,10,1627.901966
-16.287277,11,1628.184149
-59.241441,479,1681.036306
-64.266908,403,1691.072209
-29.38427,25,1691.68962
-10.351029,72,1693.487372
-30.538666,31,1694.276753
-58.759822,469,1705.912256
-64.000993,500,1718.379029
-64.23386,500,1771.305743
-24.255003,25,1772.019268
-64.877576,475,1783.892545
-65.023329,500,1796.263565
-15.955804,10,1796.584179
-33.428384,28,1797.296141
-16.549742,11,1797.572111
-29.126234,31,1798.336426
-56.41687,420,1808.817943
-28.057224,44,1809.91496
-53.403941,456,1861.878103
-20.367161,17,1862.368774
-28.904847,20,1862.873089
-22.213633,20,1863.358976
-53.50513,443,1874.327879
-60.826978,500,1886.759165
-60.059399,500,1899.224483
-77.65404,500,1911.631321
-73.38038,500,1964.727852
-70.040848,500,1977.188386
-62.258481,500,1989.546653
-23.597589,15,1989.926995
-56.77815,485,2001.962026
-68.826526,500,2055.639621
-66.869637,500,2068.031491
-10.466815,2,2068.128771
-60.554875,498,2080.498425
-61.114035,500,2092.998887
-30.219806,22,2093.620192
-58.018307,478,2146.001628
-65.99116,500,2158.456591
-24.642095,16,2158.919151
-23.663616,25,2159.552012
-14.488469,22,2160.101681
-28.341771,50,2161.358794
-22.873616,15,2161.736179
-16.000858,10,2161.984711
-17.823016,9,2162.216184
-14.678454,7,2162.396049
-13.250303,8,2162.602516
-39.23539,338,2170.973061
-13.575531,14,2171.322216
-57.211943,486,2183.415179
-59.139777,500,2235.008443
-62.754616,500,2247.935422
-62.818833,500,2260.424862
-16.351952,8,2260.630268
-15.811254,24,2261.2237
-14.440236,28,2261.932044
-11.403818,6,2262.085826
-14.074215,24,2262.695951
-19.088289,46,2263.85709
-13.694484,6,2264.011893
-44.797974,358,2272.859398
-60.309462,500,2325.640423
-14.914981,6,2325.793954
-58.240768,494,2338.073187
-18.520136,12,2338.42972
-62.744595,488,2350.577039
-70.285602,500,2363.045379
-27.506129,26,2363.760008
-22.120899,13,2364.088107
-21.514728,14,2364.437601
-17.524724,9,2364.667454
-53.45619,438,2416.20787
-58.384426,500,2428.658025
-12.88821,4,2428.806431
-14.112489,7,2428.989727
-27.92255,21,2429.521307
-10.484635,2,2429.569777
-53.494452,466,2441.117228
-79.161928,500,2453.539818
-16.880449,10,2453.860713
-17.728669,13,2454.197084
-16.16823,10,2454.443313
-26.109567,23,2455.025203
-14.108166,8,2455.216762
-24.109793,23,2455.797257
-51.857978,413,2506.837296
-70.205245,500,2519.272999
-16.198982,11,2519.601859
-10.282906,2,2519.650441
-54.954039,487,2531.75745
-57.585576,500,2544.183998
-72.552353,500,2597.729022
-64.997784,500,2610.253413
-22.719528,14,2610.654583
-59.810226,486,2622.795674
-11.693561,3,2622.894951
-57.251396,497,2635.280539
-57.766059,500,2688.703642
-61.486544,500,2701.102344
-60.828143,500,2713.632363
-74.773673,500,2726.107787
-17.488052,11,2726.451987
-19.387462,12,2726.756393
-17.224462,9,2726.981253
-20.967007,12,2727.291327
-56.97513,456,2779.319529
-19.039406,10,2779.575515
-23.344937,20,2780.081315
-57.632486,470,2791.76742
-22.806582,15,2792.203657
-57.578184,485,2804.326834
-57.32947,500,2816.726516
-64.601101,500,2870.018163
-34.176797,29,2870.772073
-65.109683,471,2882.549411
-61.205102,500,2895.035231
-19.282122,48,2896.248994
-27.92805,38,2897.186406
-49.948263,414,2907.500722
-21.385515,21,2908.090596
-14.214157,14,2908.440959
-59.030744,465,2919.987831
-64.051045,500,2972.547175
-30.902227,24,2973.218215
-21.550808,14,2973.573781
-53.695244,462,2985.114682
-67.418903,500,2997.525153
-69.186612,500,3010.017692
-59.110118,500,3062.503582
-57.297476,500,3075.041569
-14.429967,8,3075.240551
-13.904526,7,3075.420438
-23.19428,16,3075.826265
-63.701171,469,3087.494329
-72.02538,500,3099.988393
-24.446693,16,3100.39959
-12.776001,4,3100.499569
-19.852763,14,3100.856937
-53.337375,466,3152.503484
-12.907888,23,3153.142915
-56.863484,477,3164.953675
-63.568194,500,3177.381539
-10.645748,2,3177.495734
-56.181783,498,3189.877297
-59.729554,500,3243.258647
-56.722996,500,3255.730079
-17.647119,13,3256.064087
-19.806728,13,3256.390616
-57.92821,474,3268.180834
