#{"t_start": 1681412587.8351035, "env_id": null}
r,l,t
-20.881295,16,2.011168
186.526027,73,5.544569
185.996848,57,8.387168
198.253888,20,10.047536
-27.125395,21,12.425893
195.802322,35,14.633652
195.452601,32,16.783809
-35.132531,29,18.803172
-16.935553,9,20.119321
184.40349,66,23.254075
197.318617,26,25.194986
-17.242961,9,26.480546
-10.658894,2,27.577781
-46.74286,105,31.981355
-22.710334,48,34.60516
193.648835,53,37.178112
195.263228,39,39.430275
184.917291,69,42.701643
190.290449,52,45.50375
189.08343,60,48.455498
170.067117,111,52.978473
-48.012107,68,56.261728
178.220553,78,59.744594
193.32667,44,62.241265
189.918296,65,65.418487
-28.665489,26,67.193963
199.19219,17,68.813482
171.726632,100,73.050003
196.229571,35,75.180917
175.265811,94,79.161529
197.850194,36,81.362198
-11.034036,2,82.457278
-0.964691,3,83.564081
197.649321,33,85.667449
182.755793,70,89.019989
-20.623878,15,90.531286
-18.596416,31,92.566602
161.554937,115,97.217888
193.424042,49,99.871747
197.869382,24,101.727464
197.170376,30,103.828854
-17.890979,35,106.08706
-24.685321,20,107.91331
-17.754534,78,111.936174
185.946526,61,115.444408
-22.252025,17,117.092052
161.906984,113,122.245023
-15.876062,8,123.525012
154.735764,110,128.8673
180.997355,77,132.857258
191.214704,53,135.71716
-39.953167,43,138.359209
-3.859866,18,139.958012
-29.936167,24,141.999544
176.638018,74,145.525525
194.409927,46,148.262919
177.819781,106,152.938299
184.826034,63,156.011322
184.513523,66,159.414116
171.524858,83,162.958756
-19.276194,38,165.270473
-33.138244,27,167.204456
189.901748,60,170.550644
