#{"t_start": 1683839419.8191066, "env_id": "RobotEnv8-v0"}
r,l,t
-266.728503,500,41.372577
-302.645057,500,75.426186
-326.490603,500,109.683889
-245.81303,500,143.669593
-294.776921,500,188.33838
-217.143147,500,222.444759
-221.025783,500,256.588899
-263.869502,500,290.699463
-285.017404,500,335.776786
-156.29729,500,370.496088
-215.194212,500,404.635714
-236.425751,500,438.572357
-179.701736,500,483.78329
-170.038866,500,517.650522
-170.312502,500,551.804614
-166.97967,500,585.770945
-184.452755,500,630.569044
-141.799724,500,664.524058
-168.342361,500,698.504643
-237.382072,500,732.380847
-172.077816,500,777.384474
-138.989939,500,811.309978
-161.420626,500,845.433819
-159.730881,500,879.339882
-151.480593,500,924.517799
-165.184309,500,958.402411
-152.012082,500,992.432788
-152.013023,500,1026.342044
-139.589054,500,1071.2631
-176.382516,500,1105.175515
-146.804759,500,1139.291559
-153.073148,500,1173.137617
-153.737536,500,1217.975146
-139.842353,500,1252.651644
-148.43532,500,1287.891759
-144.6728,500,1321.963815
-159.080331,500,1366.797662
-127.160714,500,1400.724349
-153.242466,500,1434.775916
-146.514907,500,1468.621873
-151.774625,500,1513.347474
-135.076738,500,1547.166071
-129.862658,500,1581.364556
-100.383599,500,1615.29218
-127.5407,500,1649.276843
-122.717063,500,1694.077114
-125.047131,500,1728.089032
-117.122968,500,1761.969255
-111.663729,500,1795.999657
-127.61318,500,1840.532371
-128.084945,500,1874.573519
-132.622821,500,1908.484145
-120.655453,500,1942.601262
-129.03705,500,1987.414715
-111.895047,500,2021.743736
-111.967837,500,2055.684646
-115.409339,500,2089.709995
-100.627951,500,2134.16395
-123.844429,500,2168.408173
-113.195078,500,2205.973269
-119.492021,500,2242.803771
-111.465638,500,2287.425553
-121.124454,500,2321.624869
-123.220962,500,2355.482153
-95.50046,500,2389.506859
-126.196516,500,2434.132943
-103.98994,500,2468.246389
-104.617193,500,2502.122654
-98.476897,500,2536.199411
-106.886628,500,2580.499916
-123.447244,500,2614.657109
-80.385058,500,2648.600292
-109.698468,500,2682.786903
-86.822819,500,2727.021274
-79.167865,500,2761.208149
-84.225546,500,2795.110906
-86.057145,500,2829.236895
-92.308541,500,2873.582052
-78.937482,500,2907.761446
-68.838652,500,2941.700109
-77.111564,500,2975.805839
-73.643839,500,3020.819162
-70.167188,500,3055.008243
-73.075349,500,3089.010891
-70.0408,500,3123.15928
-82.000483,500,3157.004854
-67.596818,500,3201.759622
-85.389478,500,3235.658719
-73.181693,500,3269.815017
-71.75143,500,3303.856927
-66.275012,500,3348.376426
-63.381272,500,3382.248054
-69.365751,500,3416.339465
-53.643926,500,3450.350269
-72.675781,500,3494.923767
-66.5289,500,3528.848001
-56.764222,500,3563.014984
-58.988334,500,3597.009741
-64.300179,500,3641.983196
-61.22747,500,3675.943112
-58.440518,500,3710.048282
-67.008827,500,3743.983522
-62.049034,500,3788.491564
-58.735452,500,3822.47163
-59.801716,500,3856.607584
-66.619772,500,3890.584128
-55.273209,500,3935.075118
-59.825786,500,3969.032554
-48.569761,500,4003.240083
-54.513405,500,4037.163884
-46.701231,500,4081.835756
-54.370535,500,4115.77986
-47.793378,500,4149.907028
-57.348125,500,4183.870069
-56.565799,500,4228.845357
-46.757308,500,4262.818349
-43.858562,500,4296.884029
-45.354715,500,4330.830658
-51.029301,500,4375.440141
-57.275032,500,4409.379106
-59.960859,500,4443.578055
-56.378332,500,4477.516846
-59.43796,500,4522.144634
-56.946674,500,4556.136187
-51.22143,500,4590.264399
-52.401479,500,4624.276954
-55.925849,500,4668.861251
-52.357477,500,4702.821576
-54.260803,500,4736.910638
-55.844977,500,4770.868392
-40.622058,500,4805.26684
-43.454018,500,4850.248104
-42.431908,500,4884.371541
-42.620266,500,4918.213405
-42.531044,500,4952.29235
-44.577048,500,4996.823884
-40.748731,500,5031.024021
-44.272055,500,5065.015001
-55.6858,500,5099.158648
-41.918976,500,5144.013857
-40.445157,500,5178.09891
-43.739847,500,5212.202202
-40.674117,500,5246.218319
-47.500612,500,5291.043714
-53.012631,500,5325.125757
-48.835928,500,5359.041193
-44.310971,500,5393.210767
-47.04516,500,5437.766613
-48.577493,500,5471.946374
-38.284648,500,5505.833054
-39.268138,500,5539.996886
-38.768313,500,5585.040201
-40.29898,500,5619.247296
-43.732127,500,5653.197959
-48.463351,500,5687.385202
-37.392341,500,5732.694063
-37.865612,500,5766.73538
-36.919248,500,5800.632469
-46.542767,500,5834.673594
-40.921503,500,5879.200335
-38.541181,500,5913.470545
-48.524738,500,5947.419858
-45.484682,500,5981.61305
-36.752588,500,6025.891443
-47.532062,500,6060.047077
-35.111111,500,6093.970545
-42.31456,500,6128.051272
-38.095053,500,6172.780078
-42.202269,500,6206.878283
-50.607122,500,6240.846072
-35.169277,500,6275.004031
-40.302251,500,6308.984536
-38.598594,500,6353.595247
-36.375278,500,6387.476441
-38.877489,500,6421.514981
-35.150105,500,6455.494823
-44.223058,500,6500.885251
-35.974601,500,6534.850228
-48.909341,500,6568.916834
-41.804695,500,6602.861772
-36.463205,500,6647.550806
-37.438207,500,6681.763238
-35.672525,500,6719.849999
-39.902373,500,6756.983391
-41.080957,500,6801.55902
-41.892626,500,6835.46031
-38.121303,500,6869.322462
-43.403696,500,6903.320307
-35.807702,500,6947.85079
-43.466425,500,6981.820312
-42.572523,500,7015.817278
-45.032691,500,7049.735436
-38.157233,500,7094.714875
-33.949602,500,7128.634597
-39.610531,500,7162.656841
-39.636102,500,7196.506526
-34.084716,500,7240.835217
-41.482857,500,7274.870115
-33.223931,500,7308.801545
-34.668737,500,7342.792119
-32.342125,500,7387.395466
-33.018041,500,7421.422495
-33.368205,500,7455.51114
-35.088475,500,7489.457091
-39.912041,500,7534.174275
-34.306158,500,7568.172435
-30.95637,500,7602.428003
-40.384601,500,7636.360853
-30.787928,500,7680.824092
181.479799,178,7693.000236
-31.190228,500,7727.169418
-33.672204,500,7761.036356
-30.918057,500,7795.100769
-44.639228,500,7839.532287
-34.991875,500,7873.588397
-35.788725,500,7907.454892
-32.900898,500,7941.396949
-39.186981,500,7985.994495
-32.036082,500,8020.004047
-42.016558,500,8053.964081
-40.507641,500,8088.0255
-30.409281,500,8132.577348
-40.064276,500,8166.61253
-38.311684,500,8200.550783
-34.162944,500,8234.586807
-35.21438,500,8279.29005
-30.665329,500,8313.366816
-38.479342,500,8347.35567
-38.903143,500,8381.450096
-35.176386,500,8415.376931
-37.752378,500,8461.297275
-34.027059,500,8495.192439
-29.943187,500,8529.184262
-43.421483,500,8563.208438
-30.145891,500,8608.123367
-35.846979,500,8642.11931
-33.458485,500,8676.132659
-43.120866,500,8710.059033
-34.051391,500,8754.494443
-38.05262,500,8788.391391
-29.103207,500,8822.494137
-28.385542,500,8856.38462
-31.299401,500,8900.876867
-30.258525,500,8934.898408
-29.67578,500,8968.85641
-31.193135,500,9002.819512
-35.135449,500,9047.339086
-28.799233,500,9081.36465
-31.863412,500,9115.399225
-45.198248,500,9149.322722
-32.537911,500,9194.05283
-27.88224,500,9227.961432
-29.989914,500,9262.125334
-35.112387,500,9296.264294
-35.407454,500,9340.698874
-37.145337,500,9374.697181
-36.693498,500,9408.638134
-30.462041,500,9442.57186
-28.142233,500,9486.798877
-32.317729,500,9520.789113
-30.058603,500,9554.723914
-32.34484,500,9588.669575
-29.098062,500,9633.274466
-29.804995,500,9667.23998
-29.84451,500,9701.272922
-28.007377,500,9735.129301
-37.588826,500,9779.689646
-33.757927,500,9813.715736
-27.756708,500,9847.913749
-32.772969,500,9881.938183
-30.871136,500,9926.464494
-26.318793,500,9960.485847
-32.270377,500,9994.515726
-27.062001,500,10028.402335
-31.015071,500,10062.49065
-35.91349,500,10107.367338
-30.194947,500,10141.381225
-35.772833,500,10175.22614
-27.37566,500,10209.246519
-26.90241,500,10253.478789
-27.752002,500,10287.610111
-28.897489,500,10322.416658
-32.994119,500,10356.408737
-27.889081,500,10401.404933
-35.206688,500,10435.456865
-37.041731,500,10469.533802
176.865498,386,10495.813404
-31.613774,500,10540.107459
-29.997191,500,10574.325476
-33.325569,500,10608.280326
-29.300084,500,10642.490784
-30.776381,500,10686.8599
-31.08648,500,10721.101935
-29.920943,500,10755.194727
-27.95413,500,10789.3322
-27.862125,500,10833.998542
-29.727555,500,10868.181204
-27.917441,500,10902.198253
-33.968738,500,10936.220244
-29.033439,500,10980.513597
-27.06351,500,11014.519947
-28.624612,500,11048.569424
-39.734842,500,11082.682729
-37.785218,500,11126.918357
