#{"t_start": 1683933874.397905, "env_id": "RobotEnv-v0"}
r,l,t
-230.266307,500,165.684914
-304.624586,500,330.844713
-342.941387,500,496.317561
-245.889481,500,660.433247
-296.080379,500,825.78587
-244.222005,500,990.831744
-246.12527,500,1155.617134
-320.022387,500,1321.294943
-216.071975,500,1485.868336
-189.209863,500,1650.855986
-152.469724,500,1815.869458
-177.382063,500,1982.815829
-198.827389,500,2148.691146
-180.686856,500,2313.643917
-161.846321,500,2479.125763
-202.097138,500,2643.384777
-227.501883,500,2808.881679
-205.884671,500,2973.306137
-161.953036,500,3138.345518
-227.491019,500,3303.107186
-183.400968,500,3468.385879
-207.706021,500,3633.925308
-168.206308,500,3799.186406
-218.31376,500,3964.163949
-149.392054,500,4136.090096
-185.687223,500,4314.623836
-195.46037,500,4507.459924
-129.741973,500,4721.95155
-115.020861,500,4940.334134
-169.019741,500,5156.17201
-154.540295,500,5371.129402
-115.520434,500,5586.832979
-101.904868,500,5804.807549
-137.205886,500,6020.848917
-94.81097,500,6232.520628
-93.324869,500,6449.581336
-83.951257,500,6666.849234
-107.495074,500,6886.457744
-103.666381,500,7104.229022
-119.883535,500,7318.862634
-86.251217,500,7532.775197
-91.93968,500,7737.585555
-86.916615,500,7951.252524
-66.780384,500,8167.986839
-53.082708,500,8382.357575
-86.818738,500,8596.828979
-62.749654,500,8814.070449
-59.268388,500,9026.226799
-61.851644,500,9241.910301
-47.832134,500,9434.05619
-80.387745,500,9650.520746
-43.65669,500,9860.534796
-44.421834,500,10074.729098
-57.969077,500,10286.262969
-42.784925,500,10496.934647
-55.195726,500,10711.888845
-63.767236,500,10919.830788
-56.51727,500,11128.849407
-44.178971,500,11346.103821
-37.967216,500,11551.980614
-40.669026,500,11751.806152
-36.490845,500,11963.554337
-36.667463,500,12177.864893
-35.897638,500,12387.309197
-33.124472,500,12603.876979
-37.591764,500,12813.593633
-29.389468,500,13024.352822
-40.977857,500,13239.6877
-29.239425,500,13450.851662
-32.653441,500,13665.791464
-48.295645,500,13876.306353
-26.782187,500,14084.880766
-22.204077,500,14288.496787
-26.819925,500,14501.369289
-43.917816,500,14717.525609
186.809318,41,14735.305512
-27.188306,500,14950.550169
-26.850653,500,15163.482316
-36.924939,500,15379.013354
-39.865941,500,15592.433879
-18.269462,500,15806.579859
158.432318,292,15933.299057
187.003787,135,15991.580906
187.105856,67,16020.241758
57.875386,435,16205.427862
185.090703,143,16267.356818
185.25809,378,16431.98575
184.828653,189,16511.932518
182.305623,224,16610.384379
166.459426,219,16706.237646
159.121363,85,16743.271233
164.725708,206,16829.761561
180.248535,80,16860.623608
186.304184,90,16895.230191
189.144185,81,16927.686652
188.099707,55,16951.32149
187.789802,122,17005.193347
184.664031,65,17033.204498
188.771583,117,17084.236945
189.517163,44,17103.320123
187.244631,43,17122.124555
190.096842,69,17152.555017
185.147036,43,17171.308488
188.950313,44,17190.278212
186.721557,43,17206.812891
88.623304,246,17314.40046
183.723884,80,17348.887268
185.715592,40,17366.529797
186.862076,59,17391.917792
185.91967,47,17412.429646
188.899165,37,17428.577839
187.835475,38,17445.076111
186.264815,46,17465.653284
157.117053,82,17501.567352
166.725491,76,17533.470783
185.304195,44,17552.142786
187.418484,38,17568.600783
185.790221,48,17589.995287
183.273613,44,17609.083775
188.285018,38,17625.840453
180.343925,51,17648.332081
187.897474,41,17666.193072
159.224452,82,17701.660861
137.61766,120,17753.952051
188.562407,39,17770.996575
186.96872,45,17790.671016
156.926784,86,17828.168572
184.872715,43,17846.940818
187.811411,39,17862.180082
184.724945,47,17882.389983
180.948074,47,17902.703696
185.213643,43,17921.808879
187.259156,39,17938.676793
183.960163,44,17958.418203
187.780121,38,17975.330214
185.968826,40,17992.389502
186.8795,39,18009.393873
188.482461,42,18027.617461
185.599751,41,18045.980896
49.248548,229,18145.863317
187.031979,39,18163.228864
188.500834,36,18178.883817
174.571309,55,18200.945619
-46.619702,417,18382.630864
185.161749,41,18400.695205
152.52454,90,18439.749867
185.588867,40,18457.087692
187.063927,39,18474.203762
184.003768,43,18492.895226
185.66818,38,18509.688429
184.147232,41,18524.980892
166.099586,69,18555.028406
92.102162,221,18650.990304
181.383385,48,18671.893858
186.865389,41,18689.529085
180.119772,49,18711.188243
164.126689,70,18741.904645
180.535881,51,18764.12413
183.665686,44,18782.975865
180.341346,49,18804.616854
186.3377,40,18822.436872
187.459195,38,18839.452776
187.408333,40,18854.474352
184.039786,44,18873.758989
184.98101,43,18892.337583
186.281756,47,18912.831884
188.979617,36,18928.690399
179.069398,48,18949.793696
185.578497,41,18967.947345
186.087875,41,18985.966007
186.357901,40,19003.732344
187.358277,40,19021.082173
177.787677,50,19042.715746
186.888678,40,19060.334095
187.116372,40,19077.365663
183.289345,44,19096.4359
186.924077,39,19113.46894
188.506828,37,19129.763545
187.061412,39,19146.810534
187.2142,39,19164.363626
186.735553,42,19180.460649
