#{"t_start": 1683384996.9084516, "env_id": "RobotEnv7-v0"}
r,l,t
-149.982048,500,74.427935
-213.064202,500,107.605678
-127.428204,500,141.288418
-369.884395,500,174.450605
-129.217883,500,232.370405
-154.097181,500,266.191523
-148.27167,500,299.596775
-242.25875,500,332.727538
-79.061021,500,388.832921
-147.126031,500,421.850501
-146.112184,500,455.479864
-100.174217,500,488.542133
-148.877298,500,545.067127
-152.050211,500,578.059867
-116.862633,500,611.830029
-202.09623,500,645.1554
-200.977911,500,701.351635
-175.437915,500,734.211339
-129.679796,500,767.846033
-110.645598,500,800.840965
-137.327273,500,857.115095
-179.921374,500,889.955028
-411.03921,500,923.790093
-161.691293,500,956.82515
-191.738662,500,1012.740479
-193.997362,500,1045.77101
-161.678935,500,1079.506618
-161.442482,500,1112.535439
-146.359095,500,1169.197877
-53.576415,500,1205.200703
-150.616598,500,1238.897241
-165.538858,500,1271.868784
-64.44776,500,1327.924774
169.371922,319,1349.052264
-52.539493,181,1360.900059
-139.709689,500,1394.574879
-106.733831,500,1427.588895
-85.891563,500,1483.6278
164.694549,349,1506.647976
-35.122219,151,1516.516719
-149.185363,500,1550.153581
-102.850068,500,1583.22742
-124.965352,500,1638.558111
-123.885624,500,1671.58633
-85.669186,500,1705.42255
197.044475,39,1708.060255
151.370275,281,1726.636511
-81.204249,180,1738.476504
-110.867347,500,1772.32974
-154.26647,500,1827.66463
-111.423216,500,1861.368222
-229.889087,500,1896.441235
-91.532508,500,1933.646674
-27.945897,500,1992.431601
-230.112875,500,2029.098695
143.029052,193,2043.28578
-62.387239,307,2065.683033
193.793734,107,2074.342338
-140.902042,393,2103.740748
-97.065331,500,2162.405738
166.977961,135,2173.01821
-34.031365,365,2199.479198
-158.146907,500,2235.847918
-42.32502,500,2272.456173
-55.432511,500,2331.234396
169.787113,241,2348.968197
-82.725795,259,2367.866574
-76.179971,500,2404.226321
-169.072445,500,2441.348758
-84.026784,500,2500.241816
-28.45913,500,2537.336572
-207.444072,500,2573.798395
-49.98651,500,2610.217043
-30.232494,500,2668.930212
-60.230919,500,2705.465184
-182.735735,500,2741.838496
122.005634,374,2769.151615
184.367988,113,2777.310727
-6.757973,13,2778.291589
-176.247143,500,2837.027769
174.851569,218,2853.067583
-36.116369,282,2873.550955
-71.495901,500,2910.083271
-193.715618,500,2946.415753
-216.541582,500,3005.026324
-202.96697,500,3041.649945
-122.193811,500,3080.318513
164.079376,172,3093.595188
177.024958,312,3116.259478
-11.326492,16,3117.426016
-191.806817,500,3176.201316
-175.586371,500,3213.310856
-183.80947,500,3249.755846
-37.128617,500,3286.271528
-175.843387,500,3345.07897
171.92565,418,3375.778958
-11.960614,82,3381.761667
184.140437,166,3393.919912
178.464057,219,3409.902651
-25.629709,115,3418.316231
194.497179,51,3422.800728
136.943333,147,3433.524277
-94.018739,302,3455.495522
-174.45796,500,3491.878361
-46.409453,500,3551.003982
167.091261,106,3558.842618
195.47862,49,3562.455093
-57.446783,345,3587.523849
174.126225,87,3594.634067
-149.630536,413,3624.51552
-179.905702,500,3661.024436
-174.841018,500,3719.795533
-30.110407,500,3756.118239
-52.009435,500,3792.957556
-66.402423,500,3829.609345
-147.085738,500,3888.702074
165.092564,216,3904.598614
-108.153535,284,3925.269855
-94.856886,500,3962.539719
138.752867,182,3975.99259
-55.765812,318,3999.025317
194.94407,47,4002.583719
169.958075,296,4046.493262
195.211892,90,4052.996276
-12.705243,67,4057.906467
-170.856839,500,4094.533153
160.329607,172,4107.263176
-31.919852,328,4130.985951
184.379247,160,4142.824475
183.310829,300,4164.628237
-24.422316,40,4167.507667
144.738702,214,4205.830005
-100.791719,286,4226.762384
188.415218,175,4239.75364
-124.383022,325,4263.269645
193.94307,78,4269.180018
161.175446,222,4285.628437
196.269316,39,4288.479592
-9.894054,161,4300.267679
26.446159,484,4335.849047
-5.189659,16,4337.036102
186.205391,124,4346.963385
194.206165,45,4350.312041
-16.709313,331,4396.773726
172.778266,134,4406.733675
150.868421,278,4426.886893
-39.459463,88,4433.246074
166.512225,218,4449.985332
187.572374,77,4455.612658
192.126189,128,4464.954498
-15.450998,77,4470.517717
185.023713,396,4499.706234
-25.559023,104,4507.325991
161.447671,224,4524.588193
197.496396,55,4528.615005
-89.802987,221,4567.222641
180.376476,147,4578.050227
-51.641089,353,4603.793554
170.372226,388,4632.95505
-15.236062,112,4641.094538
187.965692,133,4650.946487
174.075459,207,4666.007449
189.114591,129,4675.38625
-14.218653,31,4677.690087
-158.624171,500,4736.804067
164.647943,226,4754.370777
-24.512896,274,4774.269441
191.847693,122,4783.320312
194.373358,57,4787.567885
190.86981,109,4795.51423
188.166023,85,4801.656813
-14.389316,127,4810.839714
-54.944662,500,4847.611087
-40.568998,500,4906.776888
-175.485112,500,4943.554077
153.562537,194,4957.882268
-104.587136,306,4980.028496
190.582988,117,4988.72939
181.252562,108,4996.74008
168.209565,199,5011.291255
-23.714732,76,5016.914102
196.54713,47,5020.456051
192.620025,140,5030.791573
174.659894,248,5049.026404
-36.441544,65,5076.122949
-183.164853,500,5112.605713
-28.71539,500,5149.609499
165.717993,134,5159.481635
198.205578,50,5163.153936
176.945554,95,5170.125805
153.837593,176,5182.95355
197.04303,40,5185.888554
-1.501791,5,5186.272781
191.637357,94,5193.318275
186.973665,71,5198.537806
197.303785,53,5202.38844
192.925755,111,5210.451388
174.058038,86,5216.70755
-18.392726,85,5245.212876
-32.046636,500,5281.945971
-150.883611,500,5318.77942
194.584009,71,5324.063559
194.139133,80,5329.94035
-112.656754,349,5355.532933
148.268146,146,5367.094607
172.156749,241,5384.731592
-46.604402,113,5392.932704
169.564543,123,5424.66107
-22.339668,377,5452.277571
197.011313,45,5455.724236
-25.2574,455,5489.015697
