#{"t_start": 1676398914.093791, "env_id": null}
r,l,t
-5006.751338,5,1.702905
-5002.007797,2,1.722887
-5002.007797,2,1.829647
-5012.461061,6,1.869307
-5002.007797,2,1.881186
-5002.007797,2,1.892167
-5002.007797,2,1.90345
-5004.190697,3,1.918186
-5002.007797,2,1.928095
-5002.007797,2,1.937917
-5002.007797,2,1.947815
-5002.007797,2,1.957375
-5002.007797,2,1.966937
-5002.007797,2,1.976525
-5002.007797,2,1.986597
-5002.007797,2,1.996525
-5002.007797,2,2.006228
-5003.181409,3,2.020196
-5002.007797,2,2.030714
-5004.009961,3,2.045055
-5002.007797,2,2.054982
-5002.007797,2,2.064801
-5002.007797,2,2.074478
-5002.007797,2,2.083913
-5002.007797,2,2.094012
-5002.007797,2,2.104439
-5002.007797,2,2.115913
-5002.007797,2,2.132962
-5002.007797,2,2.141966
-5006.758687,4,2.168614
-5002.007797,2,2.17909
-5002.007797,2,2.195853
-5003.326026,3,2.215158
-5005.400345,4,2.248602
-5002.007797,2,2.259092
-5004.394132,3,2.273879
-5002.007797,2,2.283528
-5002.007797,2,2.293386
-5008.948089,6,2.320612
-5002.007797,2,2.330272
-5002.007797,2,2.339848
-5004.27971,3,2.353693
-5004.073566,3,2.367551
-5002.007797,2,2.377241
-5006.717686,4,2.395886
-5002.007797,2,2.405409
-5010.192056,6,2.431591
-5002.007797,2,2.44129
-5003.255705,3,2.454363
-5002.007797,2,2.464058
-5003.417013,3,2.478096
-5002.007797,2,2.487549
-5002.007797,2,2.497948
-5002.007797,2,2.50862
-5002.007797,2,2.518672
-5002.007797,2,2.528611
-5002.007797,2,2.53822
493.260685,5,2.561919
-5005.234315,4,2.580522
-5015.68399,7,2.613653
-5002.007797,2,2.623432
-5002.007797,2,2.632738
-5002.007797,2,2.642757
-5002.007797,2,2.652597
-5005.569204,4,2.672498
-5002.007797,2,2.681909
-5002.007797,2,2.691374
494.371485,4,2.710522
-5002.007797,2,2.720032
-5002.007797,2,2.729586
-5005.519446,4,2.747384
-5004.098528,3,2.761767
-5002.007797,2,2.771264
-5002.007797,2,2.780857
