#{"t_start": 1680248552.9423409, "env_id": null}
r,l,t
-327.654843,500,11.215221
-455.170368,500,18.580665
-466.945066,500,26.222735
-365.653908,500,33.607011
-447.003781,500,63.535317
-361.513487,500,70.823726
-444.925325,500,78.008019
-476.168169,500,85.309025
-561.990967,500,114.417402
-443.738831,500,121.892261
-384.015826,500,129.277406
-477.824935,500,136.525992
-482.532969,500,165.646126
-344.830292,500,173.180818
-425.826984,500,180.379335
-424.842891,500,187.77946
-480.247175,500,216.517074
-397.621391,500,223.437102
-285.615991,500,230.472601
-443.543915,500,237.40446
-227.15748,500,266.187734
-424.502311,500,273.218694
-327.294545,500,280.345205
-437.889117,500,287.421772
-182.998614,500,316.70673
-245.923432,500,324.020936
-207.035464,500,331.376562
-270.843096,500,338.7841
-369.338436,500,368.468977
-369.837522,500,375.811515
-252.205279,500,383.206149
-189.201705,500,390.444854
-275.582128,500,419.82006
-435.332742,500,426.986168
-341.68658,500,434.286078
-435.858389,500,441.455251
-334.045966,500,470.662446
-434.98041,500,477.84563
-348.054132,500,485.02243
-506.723096,500,492.317858
-304.001377,500,520.854125
-399.26523,500,528.139145
-426.283515,500,535.519162
-492.075373,500,543.024059
-362.0769,500,550.561865
-359.064439,500,579.455497
-397.401439,500,586.777828
-398.244116,500,594.151141
-433.140487,500,601.588482
-349.181795,500,629.950734
-566.870484,500,637.466264
-423.586984,500,644.838246
-338.480251,500,652.410172
-409.836148,500,681.260953
-368.578407,500,688.56841
-404.197955,500,695.815824
-248.475,500,703.11895
-380.794513,500,731.396845
-527.816381,500,738.540742
-458.798663,500,745.583253
-587.106837,500,752.795444
-5314.357858,343,779.721949
-5057.490422,62,780.647357
-5067.300488,55,781.481555
-30.705041,40,782.100916
-5140.796446,91,783.517748
-5090.041654,81,784.741979
-5077.004396,75,785.874988
-5087.853134,70,786.928852
-5067.912797,72,788.023203
-5147.42002,99,789.502692
-7.233015,12,789.698971
-5109.583188,77,790.90827
-5056.057303,55,791.740579
-5146.333871,101,793.27723
-5064.531258,59,794.195245
-5058.816755,54,795.059055
-5086.920102,69,796.103477
-5081.795729,64,797.068462
-22.106008,21,797.387531
-5121.849898,90,798.787984
-5084.629843,71,799.859053
-5098.70952,82,801.079598
-5100.529506,82,802.346643
-5131.695602,101,803.826521
-5073.52,73,804.964413
-0.850297,1,804.981676
-5090.216184,84,806.223439
-5087.698888,82,807.490602
-5067.646677,58,808.360828
-5076.281839,72,831.802837
-5119.104346,92,833.241685
-5103.957745,96,834.734214
-9.961986,16,834.975218
-5082.322388,84,836.294486
-5117.781013,96,837.731069
-5136.247234,100,839.214137
-5127.065205,93,840.620325
-5111.244439,83,841.897485
-39.475266,44,842.572874
-5078.848858,62,843.513484
-5119.939065,92,844.896343
-5114.751483,85,846.160153
-5044.787268,52,846.919358
-5065.994569,57,847.797523
-5056.166436,56,848.614642
-5089.200099,76,849.738637
-16.928162,20,850.040168
-5084.784443,75,851.210258
-5048.960114,55,852.063554
-5137.423923,96,853.502357
-5100.745042,80,854.701792
-5070.230438,67,855.738204
-5061.748473,60,856.675427
-87.566769,67,857.666919
-5092.804452,84,858.921826
-5085.081233,64,859.886843
-5086.641895,74,860.99505
-5047.549996,52,861.783324
-5046.717013,52,884.110556
-5111.779872,82,885.365422
-5072.282146,75,886.501731
-15.452733,17,886.752994
-5072.38065,71,887.904958
-5079.685067,65,888.888764
-5057.237844,59,889.780926
-5140.396251,93,891.199102
-5117.076902,92,892.616562
-5095.4875,75,893.71642
-47.250577,45,894.377752
-5103.501052,88,895.69668
-5097.928265,72,896.775502
-5073.236994,64,897.749633
-5120.24582,97,899.212004
-5073.907496,74,900.3136
-5113.268265,90,901.691275
-11.260304,15,901.918551
-5086.890177,86,903.289156
-5129.610937,96,904.781725
-5050.338242,59,905.687656
-5123.50751,96,907.107808
-5104.456696,87,908.411896
-81.005434,76,909.520898
-5053.932533,61,910.472053
-5060.784984,63,911.418769
-5116.803302,87,912.72673
-5077.148206,61,913.623258
-5086.550157,85,914.88663
-5107.964908,91,937.514911
-58.535844,52,938.297431
-5132.622797,96,939.783655
-5053.188049,54,940.578947
-5109.631924,96,942.017149
-5075.684852,59,942.893516
-5067.189002,54,943.69544
-5126.484794,97,945.185157
-49.160818,44,945.839801
-5083.069912,68,946.853153
-5050.781275,53,947.684639
-5122.662534,89,949.002555
-5100.272102,76,950.151895
-5118.449053,100,951.674899
-5145.039764,95,953.096924
-13.164948,19,953.392207
-5064.349542,68,954.467584
-5140.011289,99,955.972179
-5072.031374,72,957.089352
-5092.853308,82,958.320247
-5116.257439,87,959.620412
-5086.797755,83,960.84819
-6.68627,9,960.985638
-5080.123251,68,962.013911
-5091.630364,79,963.235238
-5082.555951,71,964.287356
-5088.516912,67,965.323652
-5069.257219,69,966.356677
