#{"t_start": 1680042766.6502988, "env_id": null}
r,l,t
-384.508661,500,5.185237
-422.18327,500,10.530063
-521.524074,500,17.078143
-419.614008,500,22.948875
-384.527362,500,32.916568
-435.842701,500,37.433638
-340.013956,500,41.620529
-323.024651,500,45.764752
-470.505473,500,54.244823
-519.854402,500,59.657508
-397.690216,500,64.576802
-283.783381,500,70.444408
-411.408098,500,81.685551
-293.263167,500,86.661036
-405.228216,500,93.7486
-623.765073,500,97.796601
-409.427863,500,107.848746
-331.164444,500,113.567225
-253.963318,500,118.3324
-231.047005,500,123.22301
-246.828917,500,133.593669
-512.42141,500,139.619248
-299.954614,500,143.98712
-468.886165,500,148.96881
-335.351328,500,158.292183
-328.715324,500,163.781006
-305.703752,500,168.332861
-350.227586,500,173.698734
-378.465857,500,183.110247
-261.596572,500,187.964015
-305.755182,500,193.941794
-322.709877,500,199.201355
-216.578541,500,208.33318
-336.183626,500,213.160579
-418.6857,500,218.885209
-266.587706,500,223.088966
-282.100363,500,231.566066
-201.530429,500,235.732589
-346.150681,500,239.898055
-450.706709,500,244.092931
-430.988391,500,252.532762
-331.923547,500,257.600694
-243.875035,500,262.505194
-316.405992,500,266.768741
-328.171686,500,271.153034
-191.426829,500,279.736296
-266.252274,500,284.068488
-320.345204,500,288.394668
-241.753085,500,292.912594
-384.90442,500,302.48619
-179.735949,500,306.901382
-224.61856,500,311.351286
-260.292857,500,316.14099
-273.281019,500,325.681196
-308.615879,500,330.602616
-472.310112,500,335.184854
-186.263394,500,339.328749
-285.204463,500,347.962634
-267.232233,500,352.423585
-217.092647,500,356.685461
-445.012887,500,360.909691
-309.025628,500,369.319299
-180.856168,500,373.562023
-250.078333,500,377.748612
-344.586882,500,381.961417
-290.01133,500,390.588863
-207.049508,500,394.921092
-209.591975,500,399.016747
-184.294641,500,403.261541
-228.151849,500,413.390501
-214.857128,500,417.856717
-231.167982,500,422.137001
-294.108577,500,426.392905
-222.25567,500,435.240756
-183.210659,500,439.709589
-283.630116,500,443.853892
-230.340106,500,447.964628
-176.471542,500,456.865084
-399.998072,500,461.225195
-245.107955,500,465.451721
-333.706994,500,470.616576
-309.311501,500,481.076757
-289.031624,500,486.013831
-243.210633,500,490.6626
-327.078427,500,494.981609
-269.029722,500,499.260634
-198.461761,500,508.332721
-159.061626,500,513.341238
-197.67791,500,519.042559
-215.274475,500,523.498238
-248.317932,500,532.197121
-340.69703,500,536.369373
-208.228545,500,540.53301
-368.150689,500,544.747128
-246.591597,500,554.811486
-245.061705,500,560.956951
-268.84378,500,566.096738
-273.010242,500,570.508728
-221.289212,500,580.301753
-332.371233,500,586.248208
-212.760956,500,590.965316
-291.246979,500,596.90884
-262.706184,500,607.034488
-308.565863,500,611.633105
-258.163219,500,615.830811
-252.202184,500,620.460281
-286.287432,500,629.920868
-284.152553,500,634.441258
-244.874793,500,640.034461
-290.771118,500,644.854863
-211.528729,500,653.966581
-246.488868,500,658.475973
-271.89511,500,662.95303
-289.98642,500,667.256805
-284.383455,500,675.938187
-314.481481,500,680.967448
-322.520402,500,685.32144
-244.426558,500,689.604617
-253.978091,500,698.377211
