#{"t_start": 1680539522.110933, "env_id": null}
r,l,t
-5089.259883,103,41.010225
-5032.469592,90,43.295575
-5209.272215,234,50.067766
-5008.123101,37,51.074576
-9.134091,36,52.031574
-5037.731099,55,53.482424
-5000.476226,2,53.525995
-182.605248,443,65.394626
-245.806224,500,79.400347
-5124.738577,372,89.143116
-5040.68544,46,90.407753
-78.407939,82,92.696461
-5011.517338,40,93.916582
-5012.894166,24,134.14313
-5005.956736,12,134.472318
-5002.729463,12,134.79819
-5005.740268,31,135.695024
-5004.109524,24,136.352721
-5002.690813,7,136.541429
-5001.630177,8,136.78903
-5015.428473,24,137.44862
-5011.061646,14,137.823624
-5000.530916,2,137.87909
-5014.182696,30,138.721797
-5007.05923,19,139.226992
-5003.629743,12,139.562307
-5002.042175,4,139.657627
-5002.889269,4,139.765854
-5003.86732,22,140.37322
-5004.567043,7,140.540041
-5005.199982,25,141.127311
-5029.144379,37,141.851862
-5005.706019,19,142.258159
-5004.807361,24,142.961258
-5004.441611,8,143.168709
-5008.902037,14,143.576096
-5004.204425,16,143.994864
-5017.224762,22,144.612068
-5001.888349,9,144.850588
-7.061029,30,145.684081
-5009.842104,12,146.050661
-5015.93449,20,146.675351
-5012.495119,20,147.270295
-5014.761566,35,148.285445
-5010.365309,15,148.720984
-5010.298253,23,149.353972
-5013.33047,28,150.179408
-5002.858795,6,150.353368
-5026.486745,33,151.260638
-5003.027952,10,151.545802
-5002.133857,9,151.814474
-5001.760931,9,152.077711
-5017.962404,21,152.664108
-5007.259874,16,153.210547
-5004.30817,8,153.436349
-5007.56963,18,153.917896
-5008.51951,18,154.394685
-5005.28382,26,155.059239
-5000.258134,2,155.106175
-5001.123423,4,155.192403
-5006.415963,37,156.204605
-5001.3558,6,156.366678
-5000.606572,3,156.437055
-5010.509625,13,156.751621
-5009.112506,11,157.071134
-5005.159995,8,157.308501
-5005.611777,9,157.577112
-5009.894739,39,158.685724
-5000.774925,3,158.777401
-5001.751348,9,159.063651
-5001.163769,5,159.202965
-20.18239,24,159.883669
-5006.732643,13,160.360493
-5001.825911,7,160.560011
-5020.346945,26,161.297971
-5023.636626,33,162.228425
-5000.759624,4,162.335603
-5003.611342,16,162.805727
-5020.911192,35,163.770016
-5003.396289,11,164.110383
-5010.090575,40,165.334074
-5000.863885,4,165.467792
-5007.016811,27,166.209217
-5005.870496,14,166.606761
-5011.429619,25,167.275831
-5007.668611,27,168.01527
-5014.142354,19,168.508544
-5005.137343,26,169.07213
-5020.991252,37,169.789955
-5007.111932,12,170.063152
-5003.715155,9,170.237065
-5001.724847,7,170.481196
-5010.857969,19,171.033873
-5011.308982,17,171.547703
-5012.37363,23,172.174145
-5003.90858,28,172.964942
-5002.67337,11,173.272406
-5001.58694,4,173.386526
-0.858039,6,173.543441
-5004.458029,10,173.838225
-5028.805065,43,175.090937
-5010.343441,12,175.432973
-5010.806295,19,175.969073
-5010.708774,18,176.471057
-5000.832183,3,176.558811
-5020.963508,30,177.443984
-5007.180501,27,178.23438
-5007.824485,28,179.024621
-5003.504391,7,179.216136
-5001.856482,9,179.469889
-5005.071691,12,179.819457
-5006.750497,8,180.063717
-5006.922502,9,180.334028
-5004.790488,28,181.098215
-5005.118318,8,181.301388
-5010.116774,13,181.648715
-5000.718511,2,181.694024
-5018.219401,30,182.49314
-5003.184301,16,182.827783
-5007.133904,9,183.007396
-5006.164862,11,183.228003
-5003.111947,17,183.71317
-5015.732714,24,184.405631
-5010.746763,16,184.856493
-5005.736072,7,185.044262
-5009.613918,16,185.487764
-5001.907475,8,185.707351
-5000.600102,2,185.771806
-5002.29197,8,185.990865
-5005.287886,15,186.440344
-5003.4402,12,186.773294
-3.993462,23,187.449304
-5000.292932,2,187.595085
-5007.946446,14,188.015098
-5004.268622,17,188.513293
-5004.005386,6,188.680066
-5002.804876,7,188.869104
-5005.296657,7,189.074509
-5003.781655,16,189.527431
-5006.638987,17,189.993158
-5005.359949,26,224.136505
-5004.108877,6,224.303277
-5004.128537,13,224.673965
-5000.603103,3,224.756501
-5001.060124,5,224.910348
-5006.93607,27,225.698866
-5010.605428,14,226.129046
-5005.397062,13,226.520622
-5001.271141,3,226.608139
-5002.033097,8,226.850647
-5005.160694,10,227.148081
-5005.558101,7,227.348116
-5003.497109,7,227.546887
-5004.931441,31,228.471417
-5026.467523,40,229.676265
-5012.601251,37,230.750516
