#{"t_start": 1680698906.2230465, "env_id": null}
r,l,t
183.638251,81,4.522166
185.484169,62,7.844389
193.36896,52,11.008553
175.947529,76,15.557123
-11.816874,3,16.709659
-13.380665,14,18.401145
175.319312,86,23.188277
-34.283528,126,29.735829
180.748762,84,34.327221
174.577737,82,38.750873
180.324343,110,44.536637
-36.268275,33,47.017849
176.219662,86,51.796733
161.078528,105,57.551001
191.566969,44,60.168353
177.345285,80,64.009499
-18.993589,10,65.403284
-46.294487,38,67.851585
167.048483,131,73.515955
159.534625,99,77.408584
181.740347,66,80.238847
-23.922877,15,81.721659
-9.343318,17,83.212408
154.687579,126,87.89236
-11.000202,2,88.983941
-12.598488,7,90.269588
192.648103,46,92.666418
195.640955,35,94.640172
195.635728,36,96.632566
196.221791,33,98.539539
190.560538,69,101.699444
195.031854,37,103.964623
-23.4358,15,105.559764
193.874054,37,107.952897
194.497611,56,110.606207
-0.2488,1,111.667683
-41.40851,35,113.687566
183.560588,64,116.611535
-43.663695,41,118.852318
-22.586525,16,120.361229
177.494178,97,124.657637
198.739077,19,126.27286
152.833685,111,130.478498
196.826183,29,132.350771
195.023431,37,134.387156
-26.821254,51,136.895411
193.961981,53,139.927219
-27.074749,26,141.98289
179.574164,92,145.70616
197.803927,24,147.490245
198.691987,26,149.527713
123.873171,148,155.526931
196.125134,30,157.538397
194.573913,40,159.916873
-19.859522,61,163.478996
198.36413,28,165.410612
176.280804,89,169.407968
197.924075,53,172.301608
-28.48213,25,174.224733
161.248143,113,178.995314
-28.207998,28,180.94889
-17.897697,10,182.332728
190.986918,48,184.995541
192.609283,49,187.715064
-12.720564,4,188.848077
-8.636015,53,191.694336
181.062462,73,195.167009
195.873179,35,197.386633
166.607344,92,201.658628
187.670356,62,204.719147
-57.608484,55,207.615495
195.84946,69,210.987795
-20.331641,44,213.543432
-38.496617,30,215.566055
195.517632,39,217.807051
-0.845762,1,218.835253
191.473643,57,222.339159
195.219105,48,225.226685
178.463151,73,228.7778
166.221425,89,232.82738
175.958153,77,236.604573
197.792406,26,238.554135
