#{"t_start": 1683077571.0475242, "env_id": "RobotEnv7-v0"}
r,l,t
161.526067,107,2.770926
191.198307,50,3.992621
160.324992,102,6.575026
-73.506013,241,12.323949
-27.561402,500,23.692527
-165.247123,500,36.831106
142.730656,238,44.599476
186.430609,75,46.440953
-67.213238,187,51.313301
158.802999,177,55.743669
180.204934,142,59.817615
187.641115,91,62.576512
-52.29994,90,64.969279
155.352222,205,69.009108
181.286699,108,71.714934
-18.827403,187,76.297595
138.615545,149,80.719867
198.036855,41,81.606632
148.037183,182,85.632084
-34.722153,128,88.438676
159.306552,125,91.237433
193.666122,97,93.517095
163.569111,130,96.491207
181.217047,95,99.154484
-7.641802,53,100.418962
191.028544,139,105.080805
-132.30061,361,113.330366
-42.714108,500,123.324708
-141.161774,500,133.244089
-25.270693,500,143.493641
-45.034693,500,152.443787
185.953947,180,156.436073
-27.903111,320,165.924383
196.201048,51,167.210258
129.530701,191,172.846928
181.972508,92,175.533052
-12.254378,166,179.914589
163.245724,150,183.366831
183.037095,105,185.895126
171.660228,111,189.094768
-34.445563,134,193.163178
-171.682188,500,205.502263
-171.712262,500,217.296941
142.37975,322,225.501311
-44.17956,178,229.879487
186.794286,103,232.691675
145.130461,248,238.711845
-34.7514,149,242.214181
192.569762,105,244.540392
-119.027257,395,254.639938
175.564831,99,257.323794
155.433712,153,261.185409
126.949138,203,268.061983
-13.113858,45,269.546373
193.72493,122,273.003817
-105.172011,378,283.321372
-216.530933,500,299.170562
196.97383,58,300.69444
172.291016,169,305.992311
192.193449,164,310.671727
-10.054609,109,313.607845
-195.953038,500,326.382742
-38.011349,500,339.01069
197.058954,39,339.973476
-179.197597,461,348.903588
192.199649,106,351.601456
191.388261,83,354.194542
-108.55258,311,361.388075
199.483328,16,361.738693
-158.289537,484,373.176286
-216.841889,500,384.598577
182.508669,118,387.551684
-140.101168,382,397.33819
-28.964897,500,409.459429
-56.268181,500,420.726698
182.516136,77,422.561296
-131.388939,423,434.117828
123.82557,260,439.718359
194.890623,66,441.188058
151.859651,136,444.226312
-9.513381,38,445.043552
185.746578,83,447.186779
117.184169,329,453.989702
192.557776,59,455.323905
-4.192695,29,456.308362
153.134224,109,458.938836
175.623746,122,461.404361
-55.968534,269,467.013491
170.040539,120,469.848489
184.047445,72,471.839081
159.514769,133,474.688038
179.554954,102,477.037192
-21.529563,73,478.956424
168.910622,153,482.373129
193.622818,68,483.858791
167.001376,162,487.520559
-7.997955,117,490.24496
-165.673628,500,499.463641
130.83976,231,504.451157
155.723232,176,508.00465
