#{"t_start": 1683031125.11176, "env_id": "RobotEnv7-v0"}
r,l,t
-306.079942,500,13.349487
-377.870896,500,24.611594
-98.082552,500,35.623161
-187.239689,500,46.522982
-177.61463,500,165.547614
-142.252819,500,177.091289
-185.850682,500,189.166373
-210.675411,500,200.842158
-140.032758,500,340.060551
-183.350697,500,352.862962
-253.845755,500,366.475625
-137.500656,500,382.058025
-112.128003,500,536.53505
-328.283434,500,553.027981
-173.002474,500,569.99995
-188.08577,500,583.87942
-118.889201,500,741.082882
-203.231355,500,754.270497
-164.377135,500,767.295488
-180.23632,500,782.628541
-153.93715,500,936.700443
-156.710928,500,949.211333
-198.384379,500,962.284467
-217.429581,500,975.76948
-154.624337,500,1147.980993
-194.993877,500,1165.281486
-137.421281,500,1187.320042
-140.838447,500,1208.321977
-224.659379,500,1339.395753
-204.263578,500,1351.502308
-146.216183,500,1363.496119
-131.230709,500,1375.51068
-161.536072,500,1517.172366
-123.402519,500,1529.364696
-179.387288,500,1541.426033
-188.854728,500,1553.661273
-208.431989,500,1698.492098
-194.072966,500,1712.578143
-119.831299,500,1729.167889
-116.637378,500,1747.863276
-119.51228,500,1908.127911
-199.782993,500,1921.251136
-144.81649,500,1934.927034
-330.627073,500,1949.46939
-134.948338,500,1963.507748
-212.39825,500,2119.373755
-157.115481,500,2132.35972
-171.104507,500,2144.786695
-162.907421,500,2157.287688
-104.941077,500,2322.254385
-127.295508,500,2334.642817
-144.50909,500,2347.853172
-351.128808,500,2361.537433
-84.729316,500,2503.513663
-183.657333,500,2515.546982
-158.277606,500,2527.649824
151.406573,471,2539.170439
-15.522355,29,2539.880408
-90.973572,500,2669.007892
-96.313932,500,2681.082453
-125.790999,500,2693.093298
-201.683063,500,2705.12863
-98.871588,500,2831.08798
-137.806012,500,2843.196756
-223.269546,500,2855.230637
-115.473292,500,2867.351587
-306.314896,500,2991.52143
-275.666979,500,3003.566947
-149.147669,500,3015.74466
-135.881785,500,3027.937402
-114.749849,500,3153.961626
-163.584899,500,3166.166439
-129.140519,500,3178.192733
-185.808209,500,3190.262824
-195.352742,500,3313.232974
-66.592288,500,3325.459612
-135.136598,500,3337.454981
-108.288133,500,3349.814308
-131.534338,500,3475.012581
-123.174009,500,3487.196385
-123.998998,500,3499.410278
-129.123135,500,3511.553859
