#{"t_start": 1684818312.7497675, "env_id": "RobotEnv-v2"}
r,l,t
185.708242,39,0.890162
184.344218,41,1.593503
187.204473,37,2.235871
186.713024,38,2.884711
188.495173,35,3.488291
184.813516,41,4.260508
185.376199,40,4.936359
184.056503,42,5.692012
185.902767,39,6.396801
185.974516,39,7.078601
186.875166,38,7.748556
188.295531,36,8.363554
187.384001,37,8.987771
186.034149,39,9.661936
183.697101,42,10.425086
186.343616,38,11.135941
186.799421,38,11.804243
185.723157,39,12.522661
187.060007,37,13.155951
187.962426,36,13.79429
187.67056,37,14.44545
182.726962,43,15.225547
185.213138,40,15.920585
184.755148,41,16.66403
188.474447,35,17.255588
187.172195,37,17.887917
188.083574,36,18.492448
184.476804,41,19.236046
187.675847,37,19.885463
186.134902,39,20.613354
188.374064,36,21.227339
185.349409,40,21.976759
185.753493,39,22.648575
182.981779,43,23.420031
186.267336,39,24.141929
186.739285,38,24.793069
184.658743,41,25.58146
186.590986,38,26.256943
183.627847,42,27.03588
186.019365,39,27.775186
185.567328,40,28.479065
184.087939,41,29.257753
182.268468,44,30.052744
184.445575,41,30.781212
186.204256,39,31.476834
185.32687,40,32.233589
182.180846,44,33.056704
185.691997,39,33.748834
184.26614,41,34.503915
186.525432,38,35.207418
187.740509,37,35.852584
183.764835,42,36.648524
180.71489,46,37.484785
186.822458,38,38.132374
187.218997,37,38.768427
186.998526,38,39.465886
186.870006,38,40.121077
186.295973,39,40.805854
187.744349,37,41.448235
184.4699,41,42.185272
184.346482,41,42.884996
187.243597,37,43.533
184.34989,41,44.299523
188.477352,35,44.891845
184.861127,40,45.615938
184.98615,40,46.34922
185.251308,40,47.100371
187.214407,37,47.728776
183.87295,42,48.456934
186.549021,38,49.100592
183.644617,42,49.848238
186.973521,38,50.493068
186.277018,39,51.166067
186.933445,38,51.826508
188.026034,36,52.438224
187.703659,37,53.088458
187.613878,37,53.726179
186.543021,38,54.44939
184.210045,41,55.173135
188.358643,36,55.788396
183.833046,42,56.553901
186.770874,38,57.201166
185.294942,40,57.880903
184.690679,41,58.617553
183.211582,43,59.391413
185.112872,40,60.11284
185.763728,39,60.792298
184.420396,41,61.524032
182.494787,43,62.293397
186.498882,38,62.980421
185.62959,39,63.713255
187.675097,37,64.329297
188.363211,36,64.930088
185.65207,39,65.62391
184.578403,41,66.369653
188.357697,36,66.984551
187.529899,37,67.60315
181.009605,45,68.417374
187.245862,37,69.052722
187.038214,38,69.728772
185.527505,40,70.4237
185.689219,39,71.101699
186.75337,38,71.816634
185.782179,39,72.477304
187.100838,37,73.164645
184.849217,40,73.893414
186.085478,39,74.570087
188.139435,36,75.177913
180.559795,46,76.024562
181.33227,45,76.852633
185.437515,40,77.565758
186.956786,38,78.212177
184.373914,41,78.952926
188.444479,35,79.550846
185.995146,39,80.236378
182.45917,44,81.056795
186.723466,38,81.710252
186.409696,38,82.409236
186.322573,39,83.081249
187.591334,37,83.720206
185.387787,40,84.411128
185.794591,39,85.121389
184.876149,40,85.841315
185.065729,40,86.538001
185.329998,40,87.259795
181.057227,45,88.089885
184.622032,41,88.788188
188.339913,36,89.394108
187.843804,36,90.007782
187.727802,37,90.648771
184.223728,41,91.407111
185.412272,40,92.162559
181.770839,44,92.973308
187.412546,37,93.612413
186.074227,39,94.341542
186.545948,38,95.011507
185.828245,39,95.731627
187.075205,37,96.405801
183.655286,42,97.195375
184.610278,41,97.897341
186.334896,39,98.601343
186.706142,38,99.321913
183.962935,42,100.064697
185.223965,40,100.76144
185.94745,39,101.436755
186.226784,39,102.141851
187.831265,36,102.760449
183.982847,42,103.522638
185.216585,40,104.245086
187.012181,38,104.911237
184.702433,41,105.680156
187.915263,36,106.300522
187.165712,37,106.932122
185.968874,39,107.609883
185.130507,40,108.371969
185.30537,40,109.105592
185.483648,40,109.825199
186.486362,38,110.53275
184.636241,41,111.278066
188.136273,36,111.893129
186.034003,39,112.562479
183.997326,42,113.348999
187.881296,36,113.987915
187.038584,38,114.661898
187.842163,36,115.292183
185.944643,39,115.978699
186.028031,39,116.661603
187.058701,37,117.324779
184.054762,42,118.077747
186.107674,39,118.813831
184.028386,42,119.528429
187.707072,37,120.161065
185.977308,39,120.896391
188.347263,36,121.519083
186.179237,39,122.264777
182.716277,43,123.077925
186.83507,38,123.729583
186.846337,38,124.416931
186.986358,38,125.128703
186.527168,38,125.779496
186.617925,38,126.492863
187.342548,37,127.140537
188.313276,36,127.758663
183.30846,42,128.541904
185.628805,39,129.248688
187.861036,36,129.863295
186.417279,38,130.524636
182.619462,43,131.297454
185.359757,40,132.004241
185.489633,40,132.724963
185.79836,39,133.44009
185.814126,39,134.149409
187.696186,37,134.804327
187.861338,36,135.423349
188.070187,36,136.052826
184.057059,42,136.809467
186.361947,38,137.459369
185.562174,40,138.177106
186.691835,38,138.832503
187.374743,37,139.494412
188.109027,36,140.103337
187.200178,37,140.780208
186.902623,38,141.421063
185.995737,39,142.104905
186.720742,38,142.754744
186.798253,38,143.436825
185.92695,39,144.174956
185.382999,40,144.904491
187.148284,37,145.584107
185.106298,40,146.347816
185.183732,40,147.041786
184.060872,42,147.754957
188.280874,36,148.359483
185.807479,39,149.026195
188.259884,36,149.646515
185.201844,40,150.383548
187.525478,37,151.013132
185.455124,40,151.688732
186.600271,38,152.345287
185.017189,40,153.028505
185.881554,39,153.746178
187.764398,36,154.352923
186.788794,38,155.012818
187.968382,36,155.627355
183.738772,42,156.340925
188.448867,35,156.937972
186.164334,39,157.686927
187.817632,36,158.315191
186.845995,38,158.960165
185.015357,40,159.709019
187.302946,37,160.377717
185.357255,40,161.125314
187.836368,36,161.753911
186.791752,38,162.443841
187.324971,37,163.093524
182.853406,43,163.86316
185.598942,40,164.564063
184.343816,41,165.324202
185.302671,40,166.081127
184.161499,41,166.863067
186.108178,39,167.583409
184.63537,41,168.323179
187.38777,37,168.961886
184.655044,41,169.692896
187.511195,37,170.326387
187.995754,36,170.952324
184.078751,41,171.701728
186.362628,38,172.380115
186.014594,39,173.060434
187.48235,37,173.717777
186.299592,39,174.389872
185.644817,39,175.055485
185.411965,40,175.796853
187.139662,37,176.468709
187.720237,37,177.104772
187.356419,37,177.725334
186.182272,39,189.207969
188.143696,36,189.843873
186.759039,38,190.536842
185.711733,39,191.231674
186.40004,38,191.888638
187.530043,37,192.533305
187.102336,37,193.198455
185.503234,40,193.933991
184.193167,41,194.68872
186.689278,38,195.334097
187.77279,36,195.956378
186.370872,38,196.614314
186.877489,38,197.330357
186.647688,38,197.993697
186.625884,38,198.698539
182.79962,43,199.501468
187.579197,37,200.149493
185.548023,40,200.85403
184.883781,40,201.615878
187.674196,37,202.264698
185.379384,40,202.987588
181.709964,44,203.812942
187.186743,37,204.449163
186.605639,38,205.140225
188.241725,36,205.75784
184.447491,41,206.507235
182.287845,44,207.32934
188.052293,36,207.940321
181.722633,44,208.765873
186.104321,39,209.491426
186.425332,38,210.138183
185.883141,39,210.878683
186.100783,39,211.541747
187.188281,37,212.206095
185.156857,40,212.971354
188.057745,36,213.597921
187.494024,37,214.229687
184.987422,40,214.948842
187.923394,36,215.579301
186.36656,38,216.228483
187.687849,37,216.886943
186.079198,39,217.557049
184.413755,41,218.324791
187.387943,37,218.970239
186.117969,39,219.680744
184.670505,41,220.416059
186.082956,39,221.129986
183.643368,42,221.883342
187.58765,37,222.531944
186.092461,39,223.230484
181.901394,44,224.054014
188.184862,36,224.667158
185.252936,40,225.369668
183.91811,42,226.146529
186.34146,38,226.821162
185.011694,40,227.549863
187.817097,36,228.176996
183.653882,42,228.961135
187.339243,37,229.616245
186.503655,38,230.273101
185.10622,40,230.994227
188.004023,36,231.604604
186.458352,38,232.259219
184.833223,41,233.02135
185.888157,39,233.685247
184.690928,41,234.44992
183.961596,42,235.218236
185.555074,40,235.916149
183.149474,43,236.723868
188.410671,36,237.333346
183.679425,42,238.103019
187.585602,37,238.719728
187.390642,37,239.359707
187.08883,37,240.040823
187.946773,36,240.680605
184.403868,41,241.445201
187.482341,37,242.08073
181.817451,44,242.892505
187.061134,37,243.557247
187.365198,37,244.190725
182.913018,43,245.001411
188.29252,36,245.631469
186.674611,38,246.309327
183.434541,42,247.097211
182.043858,44,247.920378
186.468452,38,248.622532
186.960145,38,249.264163
187.128779,37,249.892842
186.328539,39,250.576468
184.418496,41,251.276578
181.307587,45,252.121417
185.853933,39,252.809297
187.6821,37,253.45027
185.235517,40,254.169733
186.558068,38,254.840545
187.595766,37,255.466158
188.293376,36,256.083301
185.640632,39,256.816924
186.340195,38,257.47687
183.85358,42,258.242124
184.994768,40,258.940642
187.131912,37,259.572439
184.98038,40,260.317575
184.157718,41,261.061397
184.519328,41,261.82181
185.741184,39,262.529542
183.885459,42,263.325409
187.29973,37,263.969025
186.171397,39,264.641065
184.407772,41,265.409588
185.699823,39,266.069077
185.684018,39,266.793823
184.916087,40,267.534395
186.07237,39,268.245631
186.151537,39,268.940145
187.97411,36,269.568152
187.481117,37,270.223212
184.133355,41,270.977299
188.471853,35,271.573127
186.517592,38,272.252952
186.926673,38,272.951998
186.92497,38,273.630048
186.660933,38,274.278005
188.126235,36,274.898946
184.413673,41,275.66878
187.042319,38,276.318958
185.67705,39,276.999324
184.822226,41,277.743651
185.747243,39,278.400835
183.343903,42,279.191597
187.883656,36,279.80303
187.176056,37,280.454013
187.049348,38,281.109071
185.266991,40,281.833893
187.558304,37,282.481164
187.090588,37,283.140716
184.395693,41,283.937109
184.58424,41,284.687187
185.556582,40,285.428677
184.05715,42,286.221223
187.708759,37,286.850391
187.648057,37,287.499552
186.051646,39,288.211356
184.813972,41,288.991278
184.156143,41,289.721439
185.931787,39,290.468611
185.228646,40,291.200471
183.272018,43,291.956758
188.061693,36,292.56973
184.829287,41,293.310216
184.302166,41,294.054501
184.825633,41,294.782327
183.671384,42,295.561325
187.57685,37,296.21353
185.259161,40,296.978865
187.556108,37,297.649198
187.894343,36,298.25718
186.116349,39,298.915097
183.145186,43,299.687553
186.034706,39,300.347698
184.162816,41,301.093032
187.8736,36,301.716672
184.358223,41,302.485453
187.415423,37,303.119726
187.359505,37,303.796393
186.570263,38,304.486341
188.106777,36,305.089578
185.356117,40,305.832053
186.998223,38,306.515044
184.906503,40,307.259778
188.28114,36,307.885419
181.580087,45,308.70968
188.292091,36,309.327266
185.630927,39,309.999822
187.615102,37,310.650296
187.809135,36,311.267947
185.547406,40,311.976837
185.819637,39,312.64505
184.644827,41,313.417913
187.220433,37,314.050781
186.242815,39,314.728533
187.162318,37,315.357672
187.377925,37,316.007118
183.891896,42,316.757365
186.837788,38,317.47856
184.161041,41,318.260084
183.976726,42,319.043747
186.734674,38,319.733526
183.74996,42,320.456449
187.859008,36,321.096764
188.048758,36,321.721553
188.343969,36,322.324595
188.086516,36,322.949097
187.271415,37,323.605525
185.036584,40,324.344431
186.557354,38,325.005114
185.479099,40,325.737378
187.841398,36,326.344656
186.082005,39,327.056494
186.310723,39,327.725196
182.468982,43,328.503199
188.265572,36,329.120178
185.055363,40,329.856672
186.938189,38,330.500798
187.732975,37,331.138903
185.200653,40,331.8483
185.261813,40,332.53659
187.963382,36,333.161868
187.553005,37,333.784855
185.37903,40,334.476928
186.794797,38,335.168822
187.165228,37,335.80558
185.814642,39,336.497035
186.840933,38,337.14496
185.173151,40,337.828783
185.148282,40,338.561785
183.430893,42,339.309218
184.004963,42,340.106638
188.19722,36,340.721936
185.852629,39,341.427938
187.268853,37,342.06943
181.895978,44,342.896446
182.40901,44,343.677452
187.960531,36,344.300688
187.231555,37,344.952921
188.056128,36,345.574157
184.854878,40,346.297383
186.618964,38,346.941487
186.952475,38,347.586151
187.618067,37,348.218288
186.312197,39,348.891614
186.276855,39,349.569252
184.182541,41,350.276107
186.645057,38,350.949122
185.065725,40,351.63204
185.06876,40,352.388917
185.578394,40,353.106387
187.714657,37,353.746431
187.431625,37,354.384438
183.836064,42,355.1486
184.170141,41,355.905797
180.535476,46,356.756456
186.81498,38,357.432176
183.107251,43,358.196985
183.251925,43,358.940905
188.348229,36,359.557053
187.428174,37,360.197279
184.504069,41,360.965814
187.71579,37,361.60224
184.686812,41,362.338237
186.035274,39,363.089053
184.8068,41,363.840505
186.885644,38,364.55859
186.024885,39,365.228626
183.569406,42,365.978632
187.986735,36,366.602521
187.437241,37,367.257498
185.416294,40,389.618199
182.577575,43,390.388703
184.247778,41,391.136416
184.726974,41,391.914049
188.163858,36,392.548437
186.585894,38,393.237923
186.836425,38,393.929421
186.514851,38,394.574261
185.274881,40,395.250018
185.845752,39,395.946507
