#{"t_start": 1684857473.6412976, "env_id": "RobotEnv-v2"}
r,l,t
193.910048,24,0.769038
191.844733,27,1.553649
192.806411,26,2.215997
191.084042,29,3.037143
192.026411,27,3.802028
193.725607,24,4.475838
192.315753,27,5.20576
193.476066,25,5.84706
191.353174,28,6.653508
189.8373,31,7.514739
192.184278,27,8.232653
192.187255,27,8.949339
190.681707,29,9.761988
186.370798,35,10.697337
192.839259,26,11.343421
193.452657,25,11.959035
193.199072,25,12.5871
190.499324,30,13.429998
191.279324,28,14.226199
189.817698,31,15.093528
192.780893,26,15.811878
189.947457,30,16.646656
187.779047,33,17.51839
188.350564,33,18.396358
193.222614,25,19.066012
190.727241,29,19.875603
194.357912,23,20.471552
185.087723,37,21.500261
190.29422,30,22.337922
193.64486,24,22.951221
184.881385,37,23.959565
192.424481,26,24.647315
193.091453,25,25.265687
192.955839,26,25.968812
190.591528,29,26.790303
191.25656,28,27.585129
190.428704,30,28.380415
188.961068,32,29.221908
194.291855,23,29.83575
189.188804,31,30.647492
193.273407,25,31.322203
191.630482,28,32.12057
190.406912,30,32.991124
189.3187,31,33.854353
192.966758,26,34.503331
194.597199,23,35.109985
187.326604,34,36.045527
194.207771,23,36.648252
193.922575,24,37.334501
192.840262,26,38.051296
192.960116,26,38.759083
189.483906,31,39.642642
190.224254,30,40.472315
192.615541,26,41.214232
194.042021,24,41.838994
188.65024,32,42.686611
190.912143,29,43.501293
192.601165,26,44.232657
193.743843,24,44.858309
193.730079,24,45.506783
190.883088,29,46.293931
190.403601,30,47.121695
192.741136,26,47.860657
189.474543,31,48.728045
190.050774,30,49.557086
190.308092,30,50.40309
191.362729,28,51.133046
190.679904,29,51.893924
189.371463,31,52.763589
194.590179,23,53.368686
189.216696,31,54.236016
189.872437,30,55.080879
184.582406,37,56.073047
191.140975,29,56.853172
191.531171,28,57.661832
191.35575,28,58.427188
186.949573,34,59.335212
190.359852,30,60.111161
190.693718,29,60.920541
193.168123,25,61.541467
