#{"t_start": 1684169683.8949423, "env_id": "RobotEnv-v2"}
r,l,t
-378.018698,500,73.060945
-378.900504,500,121.141232
-378.648648,500,169.206534
-376.402731,500,217.874484
-376.139829,500,266.8669
-376.855499,500,315.102874
-376.131165,500,363.230824
-376.076999,500,412.007412
-376.378701,500,461.862885
-376.967687,500,510.213665
-377.605551,500,558.868922
-380.437651,500,606.708388
-380.054329,500,655.127089
-377.836965,500,703.318106
-379.523981,500,751.267313
-378.749817,500,799.289183
-375.909622,500,847.779494
-377.918358,500,896.677077
-379.7654,500,944.659482
-377.591228,500,992.919521
-235.918721,500,1114.274186
-233.681459,500,1162.841461
-232.329666,500,1210.939563
-227.765252,500,1259.265436
-237.577989,500,1308.886578
-233.482151,500,1357.601736
-235.685812,500,1405.845546
-235.954699,500,1454.408583
-216.535976,500,1502.519326
-195.625798,500,1551.27999
-240.868913,500,1599.372706
-236.877842,500,1647.657512
-234.390937,500,1695.746186
-231.653758,500,1743.831326
-220.038173,500,1792.050853
-235.169193,500,1840.988377
-241.082851,500,1889.677236
-230.370382,500,1937.851077
-237.340292,500,1986.585782
-234.838617,500,2035.166528
-114.361687,500,2206.297376
-98.855313,500,2253.798021
-101.606053,500,2302.298889
-105.50909,500,2350.123901
-99.048166,500,2398.354208
-103.711697,500,2446.466493
-108.895118,500,2495.27984
-105.336211,500,2543.428027
-97.267982,500,2591.811095
-102.386486,500,2640.081684
-98.571207,500,2688.99771
-99.771566,500,2737.6341
-103.348033,500,2785.983184
-101.573926,500,2834.353372
-113.042675,500,2882.582506
-106.098,500,2930.902828
-118.311951,500,2979.505612
-97.741444,500,3027.795677
-99.965136,500,3076.825068
-98.729091,500,3125.266595
-77.374977,500,3351.283937
-56.059275,500,3399.661129
-56.865455,500,3448.41667
-56.592214,500,3496.819253
-56.262486,500,3545.44349
-66.274199,500,3593.442127
-60.491129,500,3641.789642
-53.251237,500,3690.396391
-57.006711,500,3739.275763
-76.56952,500,3787.400068
-75.003692,500,3835.601717
-67.807943,500,3883.384851
-79.17831,500,3932.043391
-92.587488,500,3980.480495
-64.540613,500,4029.135148
-88.677632,500,4077.53935
-54.047804,500,4126.436359
-60.990612,500,4174.670945
-58.595999,500,4224.024184
-55.569826,500,4271.489667
