#{"t_start": 1684085668.3300624, "env_id": "RobotEnv-v2"}
r,l,t
-153.473574,500,55.437944
-184.475527,500,88.971851
-164.936114,500,184.131861
-182.380036,500,218.53357
-124.122605,500,327.689807
-179.87986,500,364.104035
-146.810776,500,463.015466
-127.370005,500,499.52952
-169.973103,500,609.071949
-102.753069,500,645.714699
-136.907945,500,743.626479
-192.434293,500,780.303132
-166.264734,500,886.165214
-90.714375,500,919.852754
-132.807981,500,1015.840677
-214.729566,500,1049.628936
-192.226282,500,1155.81203
-144.499194,500,1189.657282
-178.564116,500,1286.290914
-152.537186,500,1320.974264
-133.591439,500,1427.413835
-211.412989,500,1460.812855
-148.991487,500,1556.598355
-97.715503,500,1590.021813
-91.287093,500,1695.668127
-101.91145,500,1729.169743
-101.819871,500,1824.778406
