#{"t_start": 1680454124.977909, "env_id": null}
r,l,t
-333.289446,500,12.566579
-219.142295,500,23.469377
-299.664032,500,33.248495
-241.57153,500,43.026471
-274.265098,500,77.765971
-197.923476,500,87.45608
-248.296368,500,97.371266
-405.806508,500,107.083048
-247.866422,500,142.987872
-213.408978,500,152.744502
-632.38905,500,162.685088
-165.422325,500,172.926131
-210.017543,500,213.928932
-580.047803,500,224.803482
-425.53916,500,235.462517
-263.168429,500,246.299836
-315.224229,500,288.106304
-5343.584096,296,294.963383
-232.795267,204,299.53361
-5260.690286,193,304.017352
-163.537681,307,311.895845
-5313.195167,356,321.861964
-58.226153,144,325.467337
-5199.308253,161,329.412041
-160.145295,339,370.727299
-423.465551,500,382.549492
-5099.975252,86,384.624103
-5295.826934,261,391.089779
-5135.171479,113,393.993529
-34.214131,40,395.119307
-5291.104773,373,404.519138
-41.141902,127,407.75806
-5355.293412,434,450.357507
-9.720939,66,452.050911
-5268.564329,303,459.814094
-5076.896981,62,461.299222
-146.133046,135,464.531714
-156.174548,500,476.662871
-5201.383535,195,481.18525
-5207.719648,209,485.947776
-92.856145,96,488.455546
-5130.551666,118,491.124631
-5239.127019,260,527.135033
-50.794958,122,529.773798
-5113.548246,109,532.203649
-144.869017,391,540.819265
-5134.722171,124,543.594738
-73.693149,376,552.289716
-5088.876527,74,553.967705
-5172.932568,176,558.506875
-5082.287017,65,560.303636
-104.586376,185,564.727826
-5308.111725,451,607.460682
-37.780739,49,608.539165
-5242.274474,421,617.90914
-24.874955,79,620.091991
-5140.73161,143,623.698885
-5182.419289,195,628.191485
-5068.44886,52,629.3801
-25.963469,110,631.845653
-5349.168162,490,642.954789
-8.469405,10,643.178594
-5159.266362,164,647.014714
-99.495136,336,685.941705
-5292.668562,429,697.218397
-42.124852,71,699.096038
-5084.8093,69,700.848759
-5101.492641,93,702.943372
-113.51755,338,711.720846
-5089.678388,75,713.46972
-5113.061454,93,715.57971
-5077.022451,61,717.05469
-5189.630457,191,721.453429
-71.805788,80,723.450318
-5104.554689,81,725.36526
-5215.487711,232,730.842532
-35.049057,187,771.674976
-5096.430906,72,773.495548
-5197.102432,205,778.809045
-5079.900433,60,780.388736
-37.495885,163,784.61969
-5238.498213,491,796.661803
-6.051768,9,796.883307
-5181.675556,206,802.317622
-5194.365,252,808.020674
-41.68273,42,808.948572
-5066.332532,52,810.131028
-5114.878814,109,812.505816
-5220.680519,278,818.585902
-12.422003,61,819.914332
-5141.887582,130,854.356952
-5079.960843,59,855.652129
-5100.298771,81,857.557433
-5070.340304,54,858.807124
-5132.464853,107,861.254638
-75.741982,69,862.783046
-5143.773381,118,865.439586
-5075.767655,62,866.794705
-5135.639278,118,869.536885
-5131.864738,113,872.120709
-101.041933,89,874.088294
-5184.926234,149,877.429171
-5122.147112,100,879.617204
-5074.320215,60,880.900987
-5114.616751,93,882.945107
-5069.198894,54,884.168087
-42.700879,44,885.199225
-5119.984775,91,887.201013
-5164.381468,129,890.024879
-5139.576583,106,892.5316
-5160.345044,134,896.029134
-32.307493,40,897.030168
-5091.546659,68,898.680016
-5167.823163,131,934.090318
-5116.526955,105,936.743856
-5070.701599,56,938.113978
-5093.020677,75,940.097871
-74.785255,65,941.631766
-5082.56834,65,943.202615
-5176.00835,132,946.315996
-5121.146519,104,948.652159
-5089.721162,74,950.356879
-142.417317,125,953.153359
-5094.893344,79,955.0002
-5069.211632,53,956.159125
-5078.459993,64,957.538838
-5167.872943,148,960.893363
-5128.404369,116,963.398116
-16.586395,40,964.272034
-5189.84931,147,967.670177
-5172.279505,132,970.572622
-5183.394066,141,973.54817
-49.252635,80,975.263726
-5131.768656,110,977.695753
-5077.417932,60,1009.415529
-5076.602593,63,1010.798181
-5097.535331,81,1012.559196
-5188.029742,148,1015.692898
-21.784193,38,1016.536926
-5110.998609,93,1018.6499
-5078.417775,63,1020.007047
-5137.186217,107,1022.290669
-5074.176775,61,1023.56915
-5068.101006,55,1024.762659
-5128.606243,100,1026.91783
-9.819241,21,1027.378419
-5160.090203,123,1030.09467
-5144.94532,116,1032.641716
-5110.879774,97,1034.752063
-5162.939544,129,1037.488092
-14.952081,35,1038.302747
-5172.303525,128,1041.091608
-5085.519421,70,1042.601919
-5163.81516,128,1045.417376
-5086.168044,68,1046.875085
-94.408271,106,1049.144516
-5126.207344,114,1051.677188
-5080.943513,65,1083.860546
-5161.845534,142,1086.880017
-5131.786295,98,1088.970368
-83.340879,81,1090.685536
-5129.159668,106,1093.014544
-5135.941396,124,1095.691238
-5111.816801,87,1097.5385
-5108.588143,93,1099.54817
-86.809161,90,1101.579688
-5166.719798,151,1104.789582
-5135.256721,111,1107.265456
-5163.670965,136,1110.279788
-5099.045815,85,1112.09494
-13.787499,17,1112.448081
-5087.76238,74,1114.110867
-5073.484178,59,1115.444741
-5181.167157,139,1118.461029
-5157.384627,127,1121.22049
-5086.810721,71,1122.745803
-17.289712,30,1123.39244
-5101.981168,86,1125.275157
-5070.10574,53,1126.430882
-5118.850033,101,1162.690421
-5134.542443,109,1165.173437
-5089.174618,71,1166.859641
-5088.66694,73,1168.657404
-6.014814,7,1168.810989
-5147.258281,120,1171.929734
-5117.518394,96,1174.153546
-5111.061541,89,1176.194679
-5154.689323,124,1179.215873
-48.975261,71,1181.1824
-5067.923369,55,1182.580049
-5102.491742,87,1184.731786
-5191.830653,136,1188.337403
-5137.051185,109,1191.023145
-114.183615,113,1193.920792
-5174.785543,136,1197.370943
-5199.549101,145,1200.814372
-5178.711441,145,1204.268985
-70.003925,74,1206.017465
-5066.385288,53,1207.293368
-5186.365805,137,1210.472863
-5192.313364,150,1247.729101
-5096.169767,83,1249.731215
-42.469952,77,1251.515203
-5113.680436,100,1253.98618
-5098.398931,85,1255.984402
-5074.090733,58,1257.297486
-5171.564001,133,1260.366207
-5143.617667,110,1262.98385
-10.067561,14,1263.34049
-5079.72109,65,1264.955771
-5200.135466,147,1268.36826
-5080.110499,65,1269.932436
-5180.786152,140,1273.170292
-83.939962,83,1275.116547
-5112.110773,96,1277.522591
-5160.902745,114,1280.255168
-5124.533312,99,1283.060592
-5113.462089,88,1285.002585
-92.940698,103,1287.258713
-5079.40075,63,1288.647821
-5171.900722,136,1291.636836
-5072.045233,56,1292.954916
-5127.341592,121,1331.13732
-5086.300032,75,1332.881838
-44.407569,49,1333.997442
-5089.18505,73,1335.686306
-5143.221725,120,1338.417939
-5084.597264,71,1340.033849
-5098.961961,83,1341.868769
-5119.893683,102,1344.185826
-63.428788,51,1345.343118
-5095.808012,79,1347.148215
-5101.99807,79,1348.984999
-5189.859479,148,1352.358221
-5069.176038,53,1353.539701
-5098.584879,82,1355.406624
-34.56197,59,1356.748882
-5136.645019,127,1359.668275
-5090.204111,77,1361.447222
-5100.751224,84,1363.35833
-5132.746198,123,1366.107508
-105.55658,89,1368.079664
-5101.011532,79,1369.943941
-5067.142758,54,1371.161844
-5186.065737,148,1374.560723
-5170.584122,147,1411.58118
-44.350166,72,1413.550858
-5164.613576,149,1418.110193
-5128.652464,117,1421.493911
-5076.222881,58,1422.940872
-5144.511092,110,1425.418375
-54.086586,66,1426.845128
-5075.193412,63,1428.304978
-5099.85758,81,1430.827996
-5146.590967,141,1434.995136
-5117.476118,98,1437.24985
-5087.89195,77,1438.934566
-23.783458,40,1439.904261
-5156.034516,133,1442.973382
-5096.14489,82,1444.74411
-5103.811478,85,1446.601702
-5097.980403,81,1448.380145
-131.207871,119,1451.694722
-5101.311349,85,1453.651097
-5092.139931,79,1455.508886
-5102.638652,88,1457.564065
-5134.19,121,1460.38219
-144.257816,127,1499.007298
-5108.817063,94,1501.098559
-5153.096639,149,1504.308088
-5087.49272,70,1505.815801
-5086.710811,72,1507.400727
-5072.357968,60,1508.703172
-22.584297,55,1509.876845
-5089.068799,69,1511.376999
-5157.472554,137,1514.338339
-5094.821907,84,1516.167531
-5145.665831,142,1519.217349
-69.915749,68,1520.799152
-5135.993253,118,1523.569406
-5121.050544,107,1526.029603
-5140.802836,121,1528.78842
-5166.697703,136,1531.736383
-19.43209,18,1532.183755
-5124.169422,108,1534.749672
-5075.820957,61,1536.10214
-5064.411864,52,1537.247775
-5127.903664,119,1539.916895
-5122.736862,116,1542.439925
-53.776538,44,1578.647412
-5178.726091,147,1582.249055
-5105.383329,91,1584.37963
-5094.83366,78,1586.315566
-5103.74952,93,1588.508173
-112.260198,91,1590.813759
-5130.192819,124,1593.922702
-5133.968067,100,1596.317714
-5110.166579,98,1598.605881
-5143.204297,116,1601.421516
-41.824985,62,1602.870118
-5131.84793,126,1605.868418
-5144.319361,119,1608.769806
-5175.2967,145,1612.161637
-5103.232944,84,1614.12408
-25.204944,26,1614.706713
-5095.325748,85,1616.932505
-5140.76295,117,1619.912945
-5065.265555,52,1621.146514
-5092.814737,75,1622.991073
-5148.825014,137,1626.479575
-18.420604,34,1627.302769
-5186.587814,131,1666.192324
-5098.835561,82,1668.054922
-5098.168636,83,1669.872937
-5105.727675,81,1671.61119
-5098.605202,77,1673.368177
-38.067502,46,1674.719423
-5175.673619,135,1678.147783
-5148.518487,106,1680.749211
-5103.092136,81,1682.687466
-5083.392005,66,1684.268252
-5090.163465,71,1686.115319
-47.304968,41,1687.111072
-5165.185051,134,1690.239452
-5117.101843,96,1692.539761
-5125.868174,111,1695.231116
-5149.436412,118,1698.076204
-13.480482,41,1699.080648
-5070.564545,56,1700.601964
-5126.656956,109,1703.145176
-5154.779342,119,1705.760515
-5144.071121,132,1708.873761
-5069.837382,56,1710.290494
-13.016069,28,1710.999728
-5181.550938,148,1750.381079
-5106.343217,84,1752.255219
-5097.673223,80,1753.993372
-5175.004919,138,1757.008162
-30.69665,50,1758.062857
-5132.57275,107,1760.362299
-5104.318857,85,1762.19936
-5114.12368,92,1764.189573
-5116.958782,88,1766.094193
-5099.660539,85,1767.969336
-32.041941,43,1768.960065
-5149.067756,118,1771.607472
-5090.17345,74,1773.244438
-5162.577735,142,1776.327357
-5087.807881,73,1777.959893
-97.490952,93,1780.001931
-5150.180545,134,1782.935534
-5110.672567,85,1784.779708
-5077.065915,60,1786.079171
-5107.432969,85,1787.954643
-5099.870588,76,1789.677068
-46.577826,60,1791.066276
-5087.42386,70,1792.571699
-5074.302375,61,1828.787326
-5149.687931,110,1831.196099
-5158.470531,126,1833.865233
-5123.559891,110,1836.481426
-19.413289,23,1836.972946
-5168.180324,128,1839.786184
-5159.904766,126,1842.516983
-5128.01939,106,1844.845827
-5118.240941,95,1846.927808
-52.540954,45,1847.945045
-5097.83493,82,1850.070267
-5102.439361,86,1852.133695
-5183.370776,137,1855.396537
-5119.751058,98,1857.48482
-78.913866,97,1859.662578
-5135.34474,120,1862.228303
-5112.561025,90,1864.200527
-5108.853312,87,1866.097238
-5194.075963,149,1869.358786
-44.100352,54,1870.492678
-5118.690782,95,1872.604387
-5165.041317,138,1909.076057
-5093.71523,77,1910.782582
-5155.443113,115,1913.333074
-76.885404,75,1914.945835
-5087.690652,71,1916.563209
-5138.033663,111,1918.916421
-5089.412673,73,1920.497884
-5099.262107,81,1922.248177
-5083.430037,64,1923.642672
-5099.219273,83,1925.467033
-12.484931,17,1925.835168
-5089.186242,76,1927.564008
-5125.008653,101,1929.720459
-5129.566539,108,1932.023847
-5130.678986,114,1934.445772
-5084.875759,66,1935.890185
-25.001851,35,1936.623524
-5077.178276,62,1937.966953
-5138.445115,106,1940.294189
-5079.801403,64,1941.683696
-5192.4647,133,1944.573746
-5103.077094,77,1946.205168
-69.97323,58,1947.461567
-5172.092468,142,1950.508996
-5166.906541,141,1987.037377
-5154.770706,120,1989.638791
-111.791544,97,1991.693309
-5088.033219,71,1993.216667
-5088.352716,67,1994.676094
-5132.868414,104,1996.9939
-5171.420125,133,1999.826255
-5067.984591,53,2000.945962
-62.266424,72,2002.53864
-5146.987899,113,2004.997875
-5173.049633,147,2008.173524
-5131.787337,106,2010.395373
-5100.347471,78,2012.067672
-69.351482,56,2013.273838
-5138.530485,118,2015.962129
-5200.837224,144,2019.051534
-5090.191162,71,2020.655139
