#{"t_start": 1683407156.3886278, "env_id": "RobotEnv7-v0"}
r,l,t
190.101549,90,19.61745
169.184259,85,21.58905
195.065417,99,23.819691
-80.072054,226,28.677821
175.926179,129,31.641279
183.688253,85,33.621681
185.496494,119,36.263243
182.091001,66,37.796018
180.181582,71,39.435979
-5.440198,30,40.142477
196.08004,45,41.163961
-166.593081,455,51.162457
175.822815,308,58.158654
-14.749526,192,62.552593
194.060379,55,63.801544
193.674971,110,66.272936
189.604487,93,68.386946
93.830506,169,72.315351
194.0716,50,73.456968
-15.202214,23,74.002175
199.018105,19,74.429804
196.377789,47,75.479802
163.581916,290,81.981982
186.883039,124,84.74977
-4.404781,20,85.222074
156.702545,118,87.806601
192.65907,44,88.828246
197.982137,46,89.88378
186.759041,227,95.028877
-4.387419,65,96.506697
191.148237,50,97.6436
159.204175,277,103.91116
190.844223,83,105.737467
175.325846,83,107.625237
-1.334845,7,107.796771
-202.091335,500,118.818226
180.228965,244,124.312866
164.630665,166,128.081187
-45.153284,90,130.158869
185.538612,95,132.292753
178.238243,77,134.041125
192.9257,103,136.35683
183.130213,101,138.674292
196.045675,84,140.574526
-4.318664,40,141.500626
189.967375,80,143.352058
188.723924,253,149.07551
195.045707,48,150.201005
174.733647,93,152.329153
-6.760267,26,152.949185
167.097837,191,157.270174
159.053882,105,159.656708
155.687123,101,161.96139
183.539199,96,164.197147
-2.287551,7,164.368242
196.715662,40,165.280474
147.105861,114,167.903929
149.768113,186,172.125106
188.966704,140,175.292893
-2.54094,20,175.785132
178.879974,93,177.924755
168.429132,219,182.940264
-53.711148,188,187.104939
196.507462,47,188.185869
179.90244,66,189.680805
-46.310241,387,198.473252
164.634823,206,203.172691
194.221142,56,204.439785
155.479457,120,207.165441
-8.216346,118,209.89643
164.788373,266,215.828004
188.983907,73,217.489389
158.391351,113,220.116829
-26.669349,48,221.235307
189.348541,114,223.814545
158.730714,217,228.716435
171.331535,126,231.60439
-8.702247,43,232.605267
142.983008,146,235.875445
191.070258,78,237.644286
172.623674,91,239.745651
-31.5923,185,243.96979
196.174466,53,245.134042
-158.640846,447,255.015203
194.553237,117,257.653193
196.20401,29,258.356955
197.431919,37,259.207556
190.757008,140,262.452591
193.090729,43,263.454451
-24.950781,134,266.398352
168.67405,107,268.830415
169.837603,146,272.181134
191.391137,88,274.202988
-57.966189,159,277.794425
182.999436,83,279.611758
196.092945,74,281.290231
197.432476,67,282.844017
182.162572,151,286.255196
-25.957705,125,289.173987
169.365608,90,291.251906
