#{"t_start": 1682377717.321592, "env_id": null}
r,l,t
-474.231421,500,20.965859
-101.111281,500,38.46075
-202.985687,500,56.020792
-206.531584,500,73.370971
-263.348684,500,123.724434
-84.241185,500,141.060918
-217.461828,500,158.613699
-404.488639,500,175.950902
-95.169808,500,225.429645
-174.520771,500,243.116808
-139.582849,500,260.479365
-301.500231,500,277.893655
-246.254245,500,326.917626
-146.296349,500,344.275653
-135.931539,500,362.144509
-116.151094,500,379.340731
-108.369868,500,428.810398
-259.466965,500,446.129473
-156.502258,500,463.858276
-120.050554,500,481.152013
-145.073673,500,531.405065
-181.126085,500,549.964287
-138.861479,500,567.640159
-81.818077,500,584.828192
-169.544586,500,633.957659
171.961116,151,639.303712
-304.268674,349,651.289346
-167.7025,500,669.18645
-102.44924,500,686.572064
-292.362336,500,735.651349
-124.305487,500,752.884161
-105.977665,500,770.05326
-115.029924,500,787.246865
-172.928067,500,836.411266
-192.103359,500,853.611099
-128.417839,500,870.851569
-100.525965,500,888.009524
125.331967,285,898.336888
180.490523,126,902.649223
-28.886459,89,937.105486
144.919941,484,953.878642
-8.962144,16,954.42371
-64.270404,500,972.200604
-176.339474,500,989.408395
-173.462361,500,1038.714682
-93.50227,500,1055.947851
-100.758919,500,1073.738781
-124.707559,500,1091.003616
-113.00373,500,1108.148141
184.748025,132,1144.37198
-75.26157,368,1157.050888
-163.825452,500,1174.214022
-53.867314,500,1191.40472
-123.824953,500,1209.115711
-78.67676,500,1257.746071
-78.428345,500,1275.046831
92.564883,458,1290.918321
-28.773532,42,1292.343394
109.572408,490,1309.223179
-1.460396,10,1309.565472
-109.954683,500,1358.22812
-126.220441,500,1375.879421
-166.900062,500,1393.03812
-67.530983,500,1410.853676
-145.711525,500,1459.547326
192.856426,132,1464.638765
-157.93117,368,1477.35171
130.248292,369,1490.119678
-107.048465,131,1494.516534
145.074394,485,1511.690317
-10.985596,15,1512.186749
-148.368535,500,1560.971029
-55.813427,500,1578.157812
164.933019,252,1587.035534
-22.250302,248,1595.482705
-169.654767,500,1612.694453
165.974921,282,1653.830848
-75.34604,218,1661.328728
-148.479969,500,1678.555371
-57.01411,500,1695.853487
-52.640866,500,1713.583671
-66.643446,500,1762.281693
-168.710764,500,1779.94588
-279.650446,500,1797.143502
-179.883394,500,1814.355868
-51.815246,500,1863.208124
156.921681,412,1877.426189
-40.854052,88,1880.428182
-117.710953,500,1897.660549
-117.78185,500,1914.79985
-173.665081,500,1963.470796
-55.837101,500,1980.635788
-55.074096,500,1997.799298
-174.031311,500,2015.013078
-82.266966,500,2063.573121
-66.714076,500,2080.735292
-43.527453,500,2098.016936
-173.046335,500,2115.162474
-48.972758,500,2132.354454
170.449636,442,2179.745698
-32.496374,58,2181.754118
-54.850707,500,2198.921933
-84.623615,500,2216.62493
-185.677895,500,2233.902761
-49.670664,500,2282.979908
150.648852,380,2296.021401
-23.008892,120,2300.145004
-72.345559,500,2317.316036
-44.63841,500,2334.427148
-44.256261,500,2383.13785
-191.513744,500,2400.315811
-93.629833,500,2417.46974
-62.54632,500,2434.526028
-185.000085,500,2483.141112
136.643804,336,2494.603324
-30.107079,164,2500.262015
-190.637741,500,2517.597464
187.59834,179,2523.776011
-48.852668,321,2534.773685
-165.648462,500,2583.264021
-62.996376,500,2600.580722
-59.163176,500,2617.926435
-53.452941,500,2635.036312
-56.855583,500,2683.750905
180.884285,192,2690.452558
138.839803,151,2695.693517
-15.285979,157,2701.110625
150.468208,269,2710.427001
190.611877,151,2715.631956
-58.636618,80,2718.374125
-43.52589,500,2735.558101
-174.804889,500,2784.546351
-502.070156,500,2801.680748
-212.710355,500,2818.916648
-179.160358,500,2836.075862
-167.346406,500,2884.730523
-92.909772,500,2901.918071
-45.051263,500,2919.15537
-54.507594,500,2936.22033
119.697331,219,2943.795237
-111.052177,281,2984.941581
-31.616982,500,3002.124829
138.36931,431,3016.851428
-21.958809,69,3019.22646
-50.241651,500,3036.410622
158.396251,196,3043.193808
-19.547476,304,3085.207322
-171.690609,500,3102.543385
-41.496742,500,3119.805438
-125.564584,500,3136.873845
-100.393126,500,3185.552588
-188.270017,500,3202.688376
-205.849128,500,3219.825622
-33.896311,500,3236.890036
186.794052,172,3242.844293
-154.118926,328,3254.14971
-42.046559,500,3302.706726
-39.340877,500,3320.152571
-48.844027,500,3337.149858
-57.081738,500,3354.311019
-50.584891,500,3403.031574
-204.56697,500,3420.054678
173.125852,355,3432.160693
-12.64961,145,3437.083951
159.210064,424,3451.772926
-27.83685,76,3454.409453
-67.638346,500,3503.063847
146.092168,137,3507.818919
-76.031784,363,3520.226371
-60.985825,500,3537.379777
-49.070773,500,3554.512268
-62.427496,500,3602.925256
-96.354208,500,3620.162604
-161.965502,500,3637.328526
186.463055,198,3644.25991
-77.487128,302,3654.442529
180.283022,283,3695.775936
177.121605,148,3700.767447
-44.799632,69,3703.188059
185.217681,121,3707.420222
163.831284,182,3713.593478
-44.602097,197,3720.304131
-161.79352,500,3737.482533
152.722347,137,3742.288717
146.599193,309,3752.980226
-28.463737,54,3754.831381
186.490206,68,3757.195213
-159.10118,432,3803.348879
161.891015,213,3810.696202
-61.432345,287,3820.627064
-42.563826,500,3837.760865
-66.300715,500,3854.90987
183.698628,91,3858.024668
-116.405787,409,3903.402665
156.341225,239,3911.679411
-46.124602,261,3920.606148
-86.600304,500,3937.777693
-177.157721,500,3955.064991
-27.694925,500,4003.615802
146.111337,195,4010.327539
-107.106952,305,4020.708658
-29.357415,500,4038.25852
-154.671756,500,4055.737165
194.940627,52,4057.550961
-43.748559,448,4104.393007
-72.857971,500,4121.725668
170.097865,124,4126.033621
-149.505777,376,4138.851181
176.248032,422,4153.428301
-6.506522,78,4156.099779
-57.887844,500,4204.714563
-180.209441,500,4221.869988
146.491861,439,4236.918525
-12.748799,61,4239.037258
-191.997181,500,4256.280474
-54.044629,500,4273.465098
-38.232696,500,4322.17732
-33.38231,500,4339.349999
-191.927251,500,4356.436977
-47.136558,500,4373.599802
-83.589494,500,4422.351722
-30.489096,500,4439.522914
-46.606788,500,4456.69062
-38.078566,500,4473.827369
-66.11335,500,4522.544218
-54.396753,500,4539.772746
-166.855718,500,4556.939404
-44.259542,500,4574.252705
-58.327279,500,4623.108448
-167.173152,500,4640.222738
177.866646,325,4651.939104
-37.611496,175,4657.938752
-152.774041,500,4675.141395
-49.081762,500,4724.425899
-80.175604,500,4741.680351
-47.533087,500,4758.968774
182.990549,117,4762.992612
-158.331085,383,4776.086755
-48.529853,500,4825.046484
-107.260143,500,4842.171549
-35.064498,500,4859.365488
-45.856935,500,4876.49971
-69.33584,500,4925.34278
-41.861472,500,4942.593014
-34.177444,500,4959.862684
164.034501,268,4969.056147
-69.794285,232,4976.987416
168.843472,203,4984.073869
-76.921021,297,5026.796367
-43.29278,500,5044.124832
-71.072507,500,5061.509914
178.753399,76,5064.225531
-57.011117,424,5078.883838
169.663723,384,5092.316299
-39.286819,116,5127.697796
181.764913,130,5132.18918
-44.042582,370,5144.864656
-63.377639,500,5162.163475
-54.952165,500,5179.184296
-43.027715,500,5228.159576
-200.313115,500,5245.267715
-166.091108,500,5262.398852
-47.633539,500,5279.548792
164.164977,353,5291.940351
-13.671117,147,5328.452472
-55.514155,500,5345.564014
-48.043191,500,5362.778845
-207.335985,500,5380.014302
138.8829,338,5391.76973
-15.325802,162,5397.251878
-41.5756,500,5445.932847
-62.519944,500,5463.10212
-35.033315,500,5480.277006
-214.187328,500,5497.469429
-42.65216,500,5546.233948
167.388414,287,5556.163073
-37.680246,213,5563.475066
-215.044071,500,5580.482718
152.666757,139,5585.327245
177.608583,80,5588.073617
-43.103498,281,5597.777237
-161.961211,500,5646.272202
-27.234267,500,5663.479109
-107.297851,500,5680.621232
-36.622845,500,5697.718776
-195.066591,500,5746.36101
132.018562,426,5761.11821
-6.105132,74,5763.713549
-121.196001,500,5780.770785
173.505014,318,5791.778248
-48.64581,182,5797.903764
-53.836748,500,5846.496779
-98.78746,500,5863.792493
-44.253252,500,5880.87887
-138.03759,500,5897.998785
