#{"t_start": 1683842032.1533415, "env_id": "RobotEnv8-v0"}
r,l,t
-284.925942,500,36.189326
-357.118174,500,70.264735
-331.179999,500,104.170234
-315.907092,500,137.851151
-227.868148,500,181.939066
-242.045082,500,215.504171
-294.815155,500,249.576462
-196.162701,500,283.229467
-224.523801,500,327.25698
-179.964959,500,360.901187
-197.215436,500,394.902894
-188.155255,500,428.472743
-178.936895,500,473.371784
-174.764813,500,506.925609
-194.457369,500,540.897238
-186.8034,500,574.469028
-171.305303,500,618.717
-148.097354,500,652.35603
-169.44838,500,686.146182
-152.704809,500,719.748288
-162.732191,500,763.819316
-142.545515,500,797.578355
-129.433192,500,831.523885
-166.276823,500,865.077945
-141.51447,500,909.611044
-152.246652,500,943.148574
-137.64412,500,976.939031
-160.280698,500,1010.456156
-137.678067,500,1054.175167
-133.422186,500,1087.730393
-138.144473,500,1121.447573
-167.805247,500,1155.121795
-148.960518,500,1198.844669
-158.153249,500,1232.375376
-147.712832,500,1265.999133
-130.916328,500,1299.655139
-141.785221,500,1343.649061
-141.877394,500,1377.212701
-146.393055,500,1411.001801
-137.380941,500,1444.639202
-139.835327,500,1488.834031
-153.865913,500,1522.441718
-137.497576,500,1556.170252
-153.848731,500,1589.755574
-129.930923,500,1623.393353
-123.80676,500,1667.036441
-149.630485,500,1700.829126
-129.37589,500,1734.423203
-130.8955,500,1768.153964
-127.225147,500,1811.851726
-114.36707,500,1845.645002
-113.764156,500,1879.27321
-124.696842,500,1913.014964
-123.785986,500,1956.924741
-110.131791,500,1990.731025
-120.905024,500,2024.304927
-116.582402,500,2058.052117
-139.879359,500,2101.648121
-115.733868,500,2135.383397
-117.218035,500,2168.919559
-125.479738,500,2203.610434
-122.913584,500,2247.374882
-122.097597,500,2281.109733
-121.425963,500,2314.689687
-131.811544,500,2348.455317
-105.471906,500,2392.199042
-113.910191,500,2425.803258
-103.724567,500,2459.440012
-121.03943,500,2493.277896
-111.699158,500,2536.807323
-128.597784,500,2570.648571
-108.806388,500,2604.301257
-99.788188,500,2638.05122
-133.280004,500,2681.830861
-87.686685,500,2715.683811
-77.572803,500,2749.312908
-112.532994,500,2783.125002
-94.589078,500,2826.793402
-113.077107,500,2860.595953
-77.322198,500,2894.249032
-98.993195,500,2928.062346
-106.282116,500,2972.070435
-70.244391,500,3005.914303
-72.747308,500,3039.504781
-95.688131,500,3073.340884
-67.372608,500,3109.594451
-78.412898,500,3155.987561
-80.862452,500,3189.626506
-72.002035,500,3223.414881
-73.652229,500,3257.019783
-65.136469,500,3301.394081
-73.854795,500,3334.990634
-55.470022,500,3368.802718
-66.022521,500,3402.413579
-111.768162,500,3446.369889
-68.112704,500,3480.112891
-63.354371,500,3513.897773
-66.643129,500,3547.52353
-68.406462,500,3591.610067
-67.128512,500,3625.236096
-62.89267,500,3659.062446
-61.774694,500,3692.836234
-55.231243,500,3736.778426
-57.479454,500,3770.423011
-57.076284,500,3804.220605
-70.198025,500,3837.90136
-61.183384,500,3882.074818
-54.877092,500,3915.780077
-51.116549,500,3949.62167
-62.860139,500,3983.328225
-51.574716,500,4027.493121
-49.112548,500,4061.146161
-54.119246,500,4094.991123
-50.971153,500,4128.638478
-63.409038,500,4172.659986
-62.06642,500,4206.304739
-51.587972,500,4240.125051
-56.14727,500,4273.766428
