#{"t_start": 1683918169.2987654, "env_id": "RobotEnvSAC-v0"}
r,l,t
-307.786979,500,220.665652
-286.472403,500,434.951798
-299.71559,500,652.522583
-315.537444,500,869.313735
-257.692485,500,1085.417912
-306.703852,500,1303.143621
-269.550362,500,1519.194839
-341.716489,500,1737.817006
-212.599275,500,1955.323716
-221.008157,500,2172.420135
-190.951717,500,2388.347365
-242.670147,500,2606.203952
-153.658401,500,2822.699847
-178.288882,500,3037.072133
-150.214808,500,3253.691345
-196.398543,500,3468.049688
-166.854602,500,3684.000049
-197.998696,500,3898.90804
-138.510484,500,4115.131529
-175.22202,500,4330.420613
-188.710342,500,4546.623732
160.710836,147,4609.915808
61.977165,484,4818.245941
-258.728091,500,5031.964807
-254.13579,500,5249.394936
-110.387768,500,5467.167571
-263.940925,500,5682.634251
185.308408,56,5706.752051
-209.816709,500,5923.444202
-183.017034,500,6137.829023
35.442377,370,6296.44226
-218.260219,500,6512.524023
42.036256,392,6679.068016
179.672609,64,6707.084956
123.530516,221,6803.344046
186.83102,39,6820.672984
97.918,180,6898.996046
166.72992,96,6939.731995
175.235064,86,6977.407511
178.331212,70,7007.633891
150.08778,131,7065.172888
141.500542,168,7139.700187
179.744831,64,7167.372237
161.650778,86,7204.449656
170.009209,76,7237.468618
176.583368,78,7269.545684
175.160131,74,7300.796054
171.859203,65,7328.968935
178.072292,73,7361.268615
172.296395,76,7394.496016
160.513025,98,7437.76318
182.931579,58,7463.106977
188.967055,39,7480.427738
179.304904,80,7515.076046
185.682372,44,7534.164046
183.470604,41,7552.140877
183.219837,43,7571.336638
185.88851,98,7613.692051
174.179642,83,7649.58055
187.203398,38,7666.521743
184.82277,49,7688.196254
183.869245,45,7708.191
177.815063,52,7730.537482
176.303724,60,7756.955303
179.148638,53,7779.852029
169.432659,85,7816.957152
179.423382,62,7843.816005
174.453248,111,7891.69277
175.514983,69,7920.861797
185.926498,50,7942.778587
-84.628927,500,8161.036074
154.613247,329,8302.877779
176.140627,132,8360.64641
174.56188,73,8392.116932
173.840692,93,8431.912816
-174.526831,500,8647.03204
-90.506223,500,8863.173488
-109.727485,500,9078.881975
-177.235112,500,9294.465622
-196.276089,500,9512.035878
-63.743586,500,9727.273827
-204.963654,500,9947.433263
-199.591359,500,10164.84885
-193.224104,500,10378.689591
183.714033,48,10399.969831
179.055772,93,10440.279769
-207.656062,500,10654.970255
175.118327,64,10682.847223
183.52384,60,10709.224801
176.899547,69,10738.636786
156.261529,132,10795.791735
169.23901,87,10831.90846
154.867067,111,10880.612398
147.019324,139,10941.3333
152.587146,136,11000.060511
173.749745,68,11029.945297
172.841926,69,11059.915246
95.687733,281,11180.106395
96.623094,250,11288.493719
179.646875,50,11309.980771
70.197761,254,11420.313119
170.36276,78,11454.236034
187.229346,40,11471.839989
181.959064,57,11495.803865
187.497803,42,11513.408279
152.821914,114,11550.921514
82.6763,267,11639.130791
163.438908,69,11661.684632
142.010585,122,11701.84061
184.735414,44,11716.351859
170.101908,60,11735.997818
182.722656,62,11756.327536
145.225223,133,11800.288668
183.58461,49,11816.673708
181.68405,49,11832.87933
184.174947,46,11848.187835
182.903792,48,11864.074417
155.564936,83,11891.177307
182.915208,53,11908.436263
184.435762,49,11924.593592
184.600832,50,11941.027097
183.435668,45,11956.063589
137.977027,154,12006.596989
170.117414,63,12027.460831
178.261611,51,12044.272632
183.095974,50,12060.822321
185.327504,45,12075.514708
187.199736,43,12089.557417
176.586167,53,12106.889713
176.849395,51,12123.81328
176.673214,59,12143.59045
150.547166,118,12182.447067
185.825046,45,12197.306291
184.207139,46,12212.606374
184.900443,52,12229.668713
180.857233,54,12247.400306
183.218033,51,12264.346831
182.367296,52,12281.46829
181.043176,52,12298.644011
150.875533,89,12328.172114
183.907431,48,12343.943571
180.923518,48,12359.635824
181.291067,60,12379.473002
180.397877,56,12397.790138
174.283217,68,12420.272238
180.790995,49,12436.427175
184.012965,45,12451.443976
161.101068,106,12486.321146
186.484537,43,12500.593271
157.617388,85,12528.471119
180.293377,49,12544.517123
183.933403,45,12559.515402
186.715822,43,12573.674008
184.54788,49,12589.931652
183.544195,49,12606.190243
183.681747,47,12621.654421
164.95807,70,12645.264098
184.31044,44,12659.874358
168.760227,65,12681.283557
183.693026,51,12698.206469
184.137914,48,12714.187567
177.873807,48,12729.889978
184.856475,41,12743.577391
186.10656,42,12757.503584
185.556423,44,12772.206877
185.315541,44,12786.791306
182.731328,46,12802.153404
186.087221,42,12816.219698
185.405964,46,12831.351477
186.555366,44,12845.993024
180.711259,49,12862.396235
182.104678,45,12877.081812
184.540816,43,12891.38081
169.588895,73,12915.639102
185.365839,44,12930.271243
185.836567,40,12943.3231
183.061653,49,12959.670189
183.921976,56,12978.470919
183.458625,49,12994.751359
186.007647,48,13010.853383
185.260463,43,13025.211073
182.589799,43,13039.37666
183.305426,47,13055.138968
183.677195,47,13070.911851
179.087405,59,13090.63266
