#{"t_start": 1683933874.4982712, "env_id": "RobotEnv-v0"}
r,l,t
-313.621514,500,165.619917
-278.163989,500,330.766166
-317.122932,500,496.201684
-296.876637,500,660.335339
-232.043727,500,825.648553
-343.515712,500,990.708965
-314.734193,500,1155.491367
-226.751011,500,1321.188922
-298.635508,500,1485.760978
-277.230054,500,1650.728539
-221.938035,500,1815.744399
-208.546465,500,1982.722748
-234.757207,500,2148.592432
-205.482952,500,2313.550248
-195.781402,500,2479.033887
-202.154286,500,2643.314821
-163.465086,500,2808.745806
-149.270823,500,2973.212047
-175.580071,500,3138.280082
-256.293801,500,3303.025403
-217.175029,500,3468.306988
-163.489843,500,3633.829805
-147.024128,500,3799.057625
-161.531028,500,3964.121813
-162.503788,500,4136.080961
-206.148694,500,4314.504279
-115.668319,500,4507.410225
-184.210239,500,4721.875848
-164.749373,500,4940.163369
-111.957585,500,5156.024534
-119.773798,500,5371.112755
-85.258638,500,5586.806358
-100.344584,500,5804.841115
-169.848604,500,6020.801086
-119.468284,500,6232.452878
-98.86345,500,6449.531185
-112.369858,500,6666.773006
-93.663632,500,6886.35034
-105.873341,500,7104.102644
-134.214694,500,7318.694008
-162.623679,500,7532.709787
-69.625937,500,7737.584544
-59.777684,500,7951.156431
-67.570979,500,8167.922434
-55.333036,500,8382.254973
-56.354801,500,8596.671069
-58.154203,500,8814.072758
-50.031047,500,9026.149935
-52.788839,500,9241.807723
-55.725811,500,9433.932944
-50.92357,500,9650.366968
-79.254105,500,9860.482665
-48.94606,500,10074.620599
-48.8019,500,10286.126488
-44.57397,500,10496.777379
-66.964549,500,10711.693564
-64.757752,500,10919.664421
-46.857948,500,11128.740072
-43.60302,500,11345.96144
-49.55231,500,11551.873946
-55.340407,500,11751.668496
-36.391734,500,11963.424129
-33.309724,500,12177.737178
-40.877811,500,12387.246198
-30.781843,500,12603.841314
-36.986381,500,12813.447388
-29.054983,500,13024.105651
-26.163598,500,13239.608296
-41.732038,500,13450.848486
-33.456636,500,13665.712443
-46.039055,500,13876.316523
-27.881834,500,14084.792514
-23.510594,500,14288.336519
-48.963451,500,14501.396559
-29.840425,500,14717.400144
167.091385,95,14758.713382
-63.602638,500,14973.63365
-20.734625,500,15186.62496
-20.441592,500,15402.140763
-18.615903,500,15615.665529
-19.153927,500,15830.156876
183.201021,408,16006.375162
186.367859,179,16083.793355
167.125642,118,16132.826656
186.047633,198,16217.698695
-86.991899,500,16434.875543
185.321942,290,16558.964607
169.007692,153,16626.83361
189.643109,45,16646.553286
172.202634,254,16756.691136
185.989228,76,16789.29324
186.286145,104,16831.92879
158.242444,114,16875.885211
174.431159,65,16900.936005
185.225563,40,16915.649096
189.781287,35,16931.573362
188.800145,54,16954.793982
189.259201,59,16980.335778
158.466259,98,17023.44285
181.215495,57,17048.009149
188.203048,46,17068.366452
186.838694,81,17103.689537
188.938793,51,17126.017792
187.829826,45,17145.857028
158.481327,112,17194.698793
188.476622,42,17210.580251
184.939617,42,17229.277213
187.443849,47,17249.654198
185.062846,42,17268.2413
186.934956,51,17290.323174
187.864137,37,17306.197016
186.33311,50,17328.422079
187.185609,50,17349.674643
176.627779,57,17374.776995
177.654289,55,17398.384154
186.898392,39,17415.31339
187.807904,47,17435.555478
188.281425,40,17453.844503
187.529811,40,17471.403746
182.552585,52,17494.258728
188.517612,38,17510.678397
185.330942,52,17532.340742
186.678623,43,17550.286204
127.626896,130,17607.140726
155.550926,85,17644.576445
184.516057,43,17663.694437
188.429774,38,17680.008163
189.460569,34,17694.801468
184.685848,43,17713.394336
180.244015,48,17734.012877
188.229181,40,17751.592525
184.274027,56,17776.053542
188.935525,36,17791.915196
189.433645,37,17807.994659
189.663504,35,17823.325551
184.999019,43,17842.065349
187.227355,46,17860.73296
187.577493,40,17877.491759
185.885269,41,17895.341645
185.077318,43,17914.069444
184.141683,44,17933.255458
186.066071,40,17951.026134
187.062406,39,17968.500018
159.737177,80,18003.231577
186.679534,39,18020.267761
158.229163,87,18058.172537
176.730039,56,18082.949658
137.089842,130,18139.747602
184.327603,42,18158.07727
186.441934,39,18175.221352
180.313834,50,18194.880455
188.271465,39,18212.323214
182.653839,44,18231.548503
36.909681,260,18343.836512
185.039172,41,18362.406216
187.621916,39,18379.34765
186.265327,41,18397.5615
159.644108,77,18430.836849
186.445981,39,18448.149462
183.01593,43,18466.511855
187.226481,43,18485.272555
184.807263,40,18502.872513
187.949365,37,18517.826227
161.395198,78,18550.740602
187.616721,39,18567.768272
186.179329,73,18599.652483
175.865543,56,18623.761556
145.350611,92,18663.470283
178.471651,52,18685.930068
188.809993,37,18702.306296
187.275131,42,18720.616489
176.180257,55,18744.695011
184.133398,43,18763.606929
179.788126,48,18784.139175
184.096545,43,18803.025962
184.778748,53,18827.002276
182.507225,46,18845.632637
180.120344,47,18865.296838
186.32122,41,18882.86195
184.472812,42,18901.452788
188.153744,39,18918.617336
187.368897,38,18935.157212
184.618423,44,18954.491744
187.832384,37,18971.176274
179.528629,52,18993.888532
187.92235,38,19010.545095
181.744344,46,19030.690065
184.409158,42,19048.820524
183.206218,46,19069.023154
165.714918,69,19098.59354
185.48315,48,19119.510157
186.294914,40,19137.150041
187.440217,40,19154.560433
188.043014,39,19171.509263
183.143166,45,19189.660291
185.470926,40,19207.404445
186.710014,40,19224.641599
184.974865,44,19244.062149
184.137336,43,19263.452494
185.645929,41,19282.052476
174.372261,59,19308.747344
-67.393483,500,19522.60928
-57.274331,500,19738.317306
153.837301,376,19895.813271
-67.129765,500,20105.957396
-65.827779,500,20321.142855
-87.089986,500,20537.92178
-45.882623,500,20752.870411
-48.854666,500,20967.560653
177.12616,366,21127.080971
178.668998,481,21334.500729
187.228904,54,21357.941473
186.95421,84,21394.591069
185.676885,50,21415.991098
185.954079,43,21434.743618
181.681365,96,21476.395795
159.659122,209,21565.936505
166.180896,139,21625.740489
176.958662,64,21654.041661
189.115773,57,21679.398523
186.11761,43,21698.022945
184.086043,54,21721.527834
175.811054,89,21760.967318
186.130168,90,21800.182722
183.906771,46,21820.288487
167.333662,80,21853.676184
-82.38292,500,22070.703244
186.612105,41,22088.408539
188.623484,38,22104.944589
184.315896,49,22126.409624
-103.175892,500,22341.37419
175.915664,60,22367.731613
179.616097,57,22392.340489
169.617565,68,22422.18424
184.982576,47,22442.712543
189.658696,36,22458.121172
183.157221,45,22477.891093
166.3685,74,22508.406395
185.614483,41,22526.133282
182.998409,51,22547.871276
187.967547,38,22564.276659
151.596026,122,22617.456499
187.944471,39,22634.324152
165.77071,68,22663.958869
171.088768,61,22690.24051
179.838957,50,22711.949545
189.104267,38,22728.491394
169.530161,75,22760.936173
133.963689,216,22853.081474
158.056446,91,22893.189575
184.716447,45,22912.315878
143.171234,135,22972.160297
105.649108,241,23080.044783
185.293841,44,23099.277447
188.161277,40,23116.985294
157.864442,113,23164.981807
159.894005,93,23204.234037
188.866114,38,23218.857126
185.28826,44,23235.800808
166.973001,79,23265.367451
184.790962,42,23284.003573
185.980082,43,23302.855854
155.417349,90,23342.443252
98.932469,194,23426.457269
184.0583,43,23445.228055
184.016594,45,23464.922298
182.751866,61,23491.259212
156.891409,98,23534.200351
186.566007,42,23552.613101
171.5163,73,23582.624513
184.954519,41,23600.591517
179.048053,55,23624.352247
186.252154,44,23643.738894
-206.634871,500,23860.212529
186.689248,42,23878.484498
183.499197,43,23895.564337
