2023-05-31 06:52:28.967640: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
Training final model for scene 1 with seed 1019
Training on scene: wooden_block_scene.ttt
Bottleneck x: 0.0843
Bottleneck y: -0.0254
Bottleneck z: 0.732
Bottleneck z angle: 1.1
Hyperparameters: {'net_arch': [128, 128], 'batch_size': 4096, 'n_steps': 2048}
/vol/bitbucket/av1019/fypenv/lib/python3.10/site-packages/gymnasium/spaces/box.py:130: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  gym.logger.warn(f"Box bound precision lowered by casting to {self.dtype}")
/vol/bitbucket/av1019/fypenv/lib/python3.10/site-packages/gymnasium/spaces/box.py:130: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  gym.logger.warn(f"Box bound precision lowered by casting to {self.dtype}")
/vol/bitbucket/av1019/fypenv/lib/python3.10/site-packages/gymnasium/spaces/box.py:130: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  gym.logger.warn(f"Box bound precision lowered by casting to {self.dtype}")
/vol/bitbucket/av1019/fypenv/lib/python3.10/site-packages/gymnasium/spaces/box.py:130: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  gym.logger.warn(f"Box bound precision lowered by casting to {self.dtype}")
/vol/bitbucket/av1019/fypenv/lib/python3.10/site-packages/gymnasium/spaces/box.py:130: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  gym.logger.warn(f"Box bound precision lowered by casting to {self.dtype}")
/vol/bitbucket/av1019/fypenv/lib/python3.10/site-packages/gymnasium/spaces/box.py:130: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  gym.logger.warn(f"Box bound precision lowered by casting to {self.dtype}")
/vol/bitbucket/av1019/fypenv/lib/python3.10/site-packages/gymnasium/spaces/box.py:130: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  gym.logger.warn(f"Box bound precision lowered by casting to {self.dtype}")
/vol/bitbucket/av1019/fypenv/lib/python3.10/site-packages/gymnasium/spaces/box.py:130: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  gym.logger.warn(f"Box bound precision lowered by casting to {self.dtype}")
/vol/bitbucket/av1019/fypenv/lib/python3.10/site-packages/gymnasium/spaces/box.py:130: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  gym.logger.warn(f"Box bound precision lowered by casting to {self.dtype}")
/vol/bitbucket/av1019/fypenv/lib/python3.10/site-packages/gymnasium/spaces/box.py:130: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  gym.logger.warn(f"Box bound precision lowered by casting to {self.dtype}")
/vol/bitbucket/av1019/fypenv/lib/python3.10/site-packages/gymnasium/spaces/box.py:130: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  gym.logger.warn(f"Box bound precision lowered by casting to {self.dtype}")
/vol/bitbucket/av1019/fypenv/lib/python3.10/site-packages/gymnasium/spaces/box.py:130: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  gym.logger.warn(f"Box bound precision lowered by casting to {self.dtype}")
/vol/bitbucket/av1019/fypenv/lib/python3.10/site-packages/gymnasium/spaces/box.py:130: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  gym.logger.warn(f"Box bound precision lowered by casting to {self.dtype}")
/vol/bitbucket/av1019/fypenv/lib/python3.10/site-packages/gymnasium/spaces/box.py:130: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  gym.logger.warn(f"Box bound precision lowered by casting to {self.dtype}")
/vol/bitbucket/av1019/fypenv/lib/python3.10/site-packages/gymnasium/spaces/box.py:130: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  gym.logger.warn(f"Box bound precision lowered by casting to {self.dtype}")
/vol/bitbucket/av1019/fypenv/lib/python3.10/site-packages/gymnasium/spaces/box.py:130: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  gym.logger.warn(f"Box bound precision lowered by casting to {self.dtype}")
error: library ( /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so ) load: "Cannot load library /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so: (libstd_srvs__rosidl_typesupport_cpp.so: cannot open shared object file: No such file or directory)"
error: library ( /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so ) load: "Cannot load library /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so: (libstd_srvs__rosidl_typesupport_cpp.so: cannot open shared object file: No such file or directory)"
error: library ( /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so ) load: "Cannot load library /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so: (libstd_srvs__rosidl_typesupport_cpp.so: cannot open shared object file: No such file or directory)"
error: library ( /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so ) load: "Cannot load library /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so: (libstd_srvs__rosidl_typesupport_cpp.so: cannot open shared object file: No such file or directory)"
error: library ( /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so ) load: "Cannot load library /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so: (libstd_srvs__rosidl_typesupport_cpp.so: cannot open shared object file: No such file or directory)"
error: library ( /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so ) load: "Cannot load library /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so: (libstd_srvs__rosidl_typesupport_cpp.so: cannot open shared object file: No such file or directory)"
error: library ( /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so ) load: "Cannot load library /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so: (libstd_srvs__rosidl_typesupport_cpp.so: cannot open shared object file: No such file or directory)"
error: library ( /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so ) load: "Cannot load library /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so: (libstd_srvs__rosidl_typesupport_cpp.so: cannot open shared object file: No such file or directory)"
error: library ( /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so ) load: "Cannot load library /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so: (libstd_srvs__rosidl_typesupport_cpp.so: cannot open shared object file: No such file or directory)"
error: library ( /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so ) load: "Cannot load library /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so: (libstd_srvs__rosidl_typesupport_cpp.so: cannot open shared object file: No such file or directory)"
error: library ( /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so ) load: "Cannot load library /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so: (libstd_srvs__rosidl_typesupport_cpp.so: cannot open shared object file: No such file or directory)"
error: library ( /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so ) load: "Cannot load library /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so: (libstd_srvs__rosidl_typesupport_cpp.so: cannot open shared object file: No such file or directory)"
error: library ( /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so ) load: "Cannot load library /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so: (libstd_srvs__rosidl_typesupport_cpp.so: cannot open shared object file: No such file or directory)"
error: library ( /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so ) load: "Cannot load library /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so: (libstd_srvs__rosidl_typesupport_cpp.so: cannot open shared object file: No such file or directory)"
error: library ( /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so ) load: "Cannot load library /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so: (libstd_srvs__rosidl_typesupport_cpp.so: cannot open shared object file: No such file or directory)"
error: library ( /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so ) load: "Cannot load library /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so: (libstd_srvs__rosidl_typesupport_cpp.so: cannot open shared object file: No such file or directory)"
/vol/bitbucket/av1019/fypenv/lib/python3.10/site-packages/gymnasium/spaces/box.py:130: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  gym.logger.warn(f"Box bound precision lowered by casting to {self.dtype}")
error: library ( /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so ) load: "Cannot load library /homes/av1019/FYP/fyp/CoppeliaSim_Edu_V4_5_1_rev0_Ubuntu22_04/libsimExtROS2.so: (libstd_srvs__rosidl_typesupport_cpp.so: cannot open shared object file: No such file or directory)"
Using cuda device
Logging to /vol/bitbucket/av1019/PPO/tensorboard_logs/final_model_scene_1_seed_1019/PPO_3
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 500      |
|    ep_rew_mean     | -284     |
| time/              |          |
|    fps             | 134      |
|    iterations      | 1        |
|    time_elapsed    | 243      |
|    total_timesteps | 32768    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 500          |
|    ep_rew_mean          | -243         |
| time/                   |              |
|    fps                  | 133          |
|    iterations           | 2            |
|    time_elapsed         | 490          |
|    total_timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0055408156 |
|    clip_fraction        | 0.0517       |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.67        |
|    explained_variance   | 0.0158       |
|    learning_rate        | 0.0003       |
|    loss                 | 2.56         |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00409     |
|    std                  | 0.997        |
|    value_loss           | 9.8          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 500          |
|    ep_rew_mean          | -192         |
| time/                   |              |
|    fps                  | 134          |
|    iterations           | 3            |
|    time_elapsed         | 730          |
|    total_timesteps      | 98304        |
| train/                  |              |
|    approx_kl            | 0.0042134486 |
|    clip_fraction        | 0.0172       |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.66        |
|    explained_variance   | 0.258        |
|    learning_rate        | 0.0003       |
|    loss                 | 6.99         |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00146     |
|    std                  | 0.995        |
|    value_loss           | 19.7         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 500          |
|    ep_rew_mean          | -158         |
| time/                   |              |
|    fps                  | 135          |
|    iterations           | 4            |
|    time_elapsed         | 963          |
|    total_timesteps      | 131072       |
| train/                  |              |
|    approx_kl            | 0.0033356077 |
|    clip_fraction        | 0.0352       |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.65        |
|    explained_variance   | 0.000492     |
|    learning_rate        | 0.0003       |
|    loss                 | 6.96         |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00161     |
|    std                  | 0.993        |
|    value_loss           | 15.6         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 500          |
|    ep_rew_mean          | -133         |
| time/                   |              |
|    fps                  | 137          |
|    iterations           | 5            |
|    time_elapsed         | 1192         |
|    total_timesteps      | 163840       |
| train/                  |              |
|    approx_kl            | 0.0036545517 |
|    clip_fraction        | 0.0244       |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.64        |
|    explained_variance   | 0.000662     |
|    learning_rate        | 0.0003       |
|    loss                 | 5.33         |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.000445    |
|    std                  | 0.991        |
|    value_loss           | 13           |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 500          |
|    ep_rew_mean          | -122         |
| time/                   |              |
|    fps                  | 137          |
|    iterations           | 6            |
|    time_elapsed         | 1431         |
|    total_timesteps      | 196608       |
| train/                  |              |
|    approx_kl            | 0.0034655975 |
|    clip_fraction        | 0.00693      |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.64        |
|    explained_variance   | 0.103        |
|    learning_rate        | 0.0003       |
|    loss                 | 5.7          |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.00086     |
|    std                  | 0.99         |
|    value_loss           | 11.1         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 500          |
|    ep_rew_mean          | -124         |
| time/                   |              |
|    fps                  | 137          |
|    iterations           | 7            |
|    time_elapsed         | 1673         |
|    total_timesteps      | 229376       |
| train/                  |              |
|    approx_kl            | 0.0009978141 |
|    clip_fraction        | 3.05e-06     |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.63        |
|    explained_variance   | 0.28         |
|    learning_rate        | 0.0003       |
|    loss                 | 5.01         |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.000311    |
|    std                  | 0.99         |
|    value_loss           | 9.87         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 500          |
|    ep_rew_mean          | -117         |
| time/                   |              |
|    fps                  | 137          |
|    iterations           | 8            |
|    time_elapsed         | 1902         |
|    total_timesteps      | 262144       |
| train/                  |              |
|    approx_kl            | 0.0035322742 |
|    clip_fraction        | 0.00624      |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.63        |
|    explained_variance   | 0.329        |
|    learning_rate        | 0.0003       |
|    loss                 | 5            |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.000971    |
|    std                  | 0.989        |
|    value_loss           | 10.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 500          |
|    ep_rew_mean          | -116         |
| time/                   |              |
|    fps                  | 138          |
|    iterations           | 9            |
|    time_elapsed         | 2126         |
|    total_timesteps      | 294912       |
| train/                  |              |
|    approx_kl            | 0.0017919067 |
|    clip_fraction        | 0.000211     |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.63        |
|    explained_variance   | 0.434        |
|    learning_rate        | 0.0003       |
|    loss                 | 4.62         |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.000488    |
|    std                  | 0.989        |
|    value_loss           | 9.79         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 500          |
|    ep_rew_mean          | -110         |
| time/                   |              |
|    fps                  | 139          |
|    iterations           | 10           |
|    time_elapsed         | 2349         |
|    total_timesteps      | 327680       |
| train/                  |              |
|    approx_kl            | 0.0059686904 |
|    clip_fraction        | 0.0123       |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.63        |
|    explained_variance   | 0.571        |
|    learning_rate        | 0.0003       |
|    loss                 | 4.62         |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.00131     |
|    std                  | 0.989        |
|    value_loss           | 8.97         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 500          |
|    ep_rew_mean          | -107         |
| time/                   |              |
|    fps                  | 140          |
|    iterations           | 11           |
|    time_elapsed         | 2574         |
|    total_timesteps      | 360448       |
| train/                  |              |
|    approx_kl            | 0.0042953994 |
|    clip_fraction        | 0.0387       |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.63        |
|    explained_variance   | 0.493        |
|    learning_rate        | 0.0003       |
|    loss                 | 3.66         |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00206     |
|    std                  | 0.989        |
|    value_loss           | 7.52         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 500          |
|    ep_rew_mean          | -106         |
| time/                   |              |
|    fps                  | 140          |
|    iterations           | 12           |
|    time_elapsed         | 2794         |
|    total_timesteps      | 393216       |
| train/                  |              |
|    approx_kl            | 0.0041890778 |
|    clip_fraction        | 0.00877      |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.63        |
|    explained_variance   | 0.629        |
|    learning_rate        | 0.0003       |
|    loss                 | 4.13         |
|    n_updates            | 110          |
|    policy_gradient_loss | -0.00112     |
|    std                  | 0.988        |
|    value_loss           | 8.82         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | -100       |
| time/                   |            |
|    fps                  | 141        |
|    iterations           | 13         |
|    time_elapsed         | 3018       |
|    total_timesteps      | 425984     |
| train/                  |            |
|    approx_kl            | 0.00448215 |
|    clip_fraction        | 0.0176     |
|    clip_range           | 0.2        |
|    entropy_loss         | -5.63      |
|    explained_variance   | 0.636      |
|    learning_rate        | 0.0003     |
|    loss                 | 3.74       |
|    n_updates            | 120        |
|    policy_gradient_loss | -0.00207   |
|    std                  | 0.988      |
|    value_loss           | 7.16       |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 500          |
|    ep_rew_mean          | -96.8        |
| time/                   |              |
|    fps                  | 141          |
|    iterations           | 14           |
|    time_elapsed         | 3237         |
|    total_timesteps      | 458752       |
| train/                  |              |
|    approx_kl            | 0.0028806229 |
|    clip_fraction        | 0.0385       |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.63        |
|    explained_variance   | 0.662        |
|    learning_rate        | 0.0003       |
|    loss                 | 3.24         |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.00291     |
|    std                  | 0.987        |
|    value_loss           | 6.53         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 500          |
|    ep_rew_mean          | -92.3        |
| time/                   |              |
|    fps                  | 142          |
|    iterations           | 15           |
|    time_elapsed         | 3458         |
|    total_timesteps      | 491520       |
| train/                  |              |
|    approx_kl            | 0.0040294677 |
|    clip_fraction        | 0.0371       |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.62        |
|    explained_variance   | 0.654        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.35         |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.00256     |
|    std                  | 0.986        |
|    value_loss           | 5.26         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | -85.6       |
| time/                   |             |
|    fps                  | 142         |
|    iterations           | 16          |
|    time_elapsed         | 3680        |
|    total_timesteps      | 524288      |
| train/                  |             |
|    approx_kl            | 0.005341403 |
|    clip_fraction        | 0.0329      |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.62       |
|    explained_variance   | 0.704       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.39        |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0036     |
|    std                  | 0.984       |
|    value_loss           | 5.32        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 500          |
|    ep_rew_mean          | -79.5        |
| time/                   |              |
|    fps                  | 142          |
|    iterations           | 17           |
|    time_elapsed         | 3903         |
|    total_timesteps      | 557056       |
| train/                  |              |
|    approx_kl            | 0.0037963334 |
|    clip_fraction        | 0.071        |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.61        |
|    explained_variance   | 0.758        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.06         |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.000708    |
|    std                  | 0.983        |
|    value_loss           | 5.44         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | -76         |
| time/                   |             |
|    fps                  | 142         |
|    iterations           | 18          |
|    time_elapsed         | 4130        |
|    total_timesteps      | 589824      |
| train/                  |             |
|    approx_kl            | 0.004487849 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.61       |
|    explained_variance   | 0.779       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.05        |
|    n_updates            | 170         |
|    policy_gradient_loss | 0.000944    |
